ダウンロードした時刻：2021/05/19 13:44:59,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,3.9,7.3,0.7,15.1,-2.3,155,0,7,0,23.5,0,90.8,0,30,0,70,1017
Feb-14,3.5,6.7,0.8,17.7,-3.1,95.5,0,6,0,24,0,77.4,0,26,0,69,1018.4
Mar-14,7.4,11.3,3.7,22.7,-1,296.5,0,11,0,75,0,139.6,0,38,0,67,1013.6
Apr-14,12.4,17.1,7.8,22.5,2.6,88,0,6.5,0,34.5,0,237.5,0,61,0,61,1013.1
May-14,18,22.7,13.6,30,7.3,91.5,0,9.5,0,26.5,0,241.2,0,55,0,61,1007.9
Jun-14,22.7,26.6,19.6,33.7,17.2,152.5,0,28,0,62,0,206.9,0,47,0,73,1003
Jul-14,26.1,29.8,23,35,20,116.5,0,11.5,0,22,0,198.9,0,45,0,75,1004.7
Aug-14,26.5,30.4,23.6,37.3,20.5,497.5,0,44,0,88.5,0,126.8,0,30,0,76,1005.5
Sep-14,22.5,26.8,18.9,32.3,14.5,80,0,10,0,28.5,0,203.4,0,55,0,69,1009
Oct-14,17.2,21.4,13.5,27.9,7.7,249.5,0,18,0,63.5,0,176.2,0,51,0,69,1014.4
Nov-14,12.3,16.4,8.6,23.2,3.8,196,0,9.5,0,26,0,114.6,0,37,0,72,1015.1
Dec-14,4.7,7.9,2,17.2,-1,616,0,16.5,0,98,0,47.3,0,16,0,76,1012.9
Jan-15,3.9,6.9,1.2,14.7,-1.2,223,0,6,0,22,0,43.8,0,14,0,75,1014.9
Feb-15,4.8,8.1,1.7,18.2,-2.3,150.5,0,13,0,25.5,0,72.7,0,24,0,70,1013.8
Mar-15,7.7,11.9,3.8,22.9,-0.5,172.5,0,7.5,0,43.5,0,150.3,0,41,0,68,1014.8
Apr-15,13.3,18,9.2,27,1.6,198.5,0,15,0,54,0,173,0,44,0,68,1012.6
May-15,19.5,24.1,14.9,28.8,8.7,120,0,22.5,0,50,0,271.8,0,62,0,60,1006.5
Jun-15,21.7,25.9,18.3,30.4,13.7,107.5,0,7.5,0,25,0,172.7,0,40,0,74,1004.3
Jul-15,26.1,30,23,37.4,18.7,159,0,11,0,44,0,193.9,0,44,0,74,1005.1
Aug-15,27,30.9,24,35.4,20.3,123.5,0,15,0,59.5,0,220.9,0,53,0,73,1005
Sep-15,21.5,25.4,18.6,29.4,13.4,272,0,21.5,0,42,0,138.9,0,37,0,77,1009
Oct-15,17.1,21.7,13,28.9,7.7,77.5,0,18.5,0,31,0,192.4,0,55,0,65,1013.2
Nov-15,13.4,16.8,10.5,23.2,3.2,225.5,0,7.5,0,30.5,0,90.1,0,29,0,75,1017.7
Dec-15,8,11.5,4.5,17.6,0.4,335,0,10.5,0,72.5,0,72.8,0,24,0,73,1017.4
Jan-16,5,7.9,2.3,15.9,-4,240.5,0,8,0,33,0,57.1,0,19,0,74,1014.9
