ダウンロードした時刻：2021/05/19 13:45:31,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,3,7.3,-0.3,14.7,-4,144,0,5.5,0,18.5,0,99.9,0,32,0,79,1019.3
Feb-14,3.6,7.6,0.4,16.3,-3.2,63.5,0,3,0,15,0,100.6,0,33,0,71,1020.1
Mar-14,7.4,11.9,3.1,22.8,-2.9,249.5,0,16.5,0,78,0,127.6,0,35,0,73,1015.8
Apr-14,12.4,18.8,6.9,25.8,1.8,108.5,0,9,0,27,0,212.6,0,54,0,65,1015.2
May-14,18.1,23.9,12.9,32.2,6.1,102.5,0,11,0,35.5,0,234.3,0,54,0,63,1010.1
Jun-14,23,28,19.2,34,15.7,109,0,13.5,0,21,0,183,0,42,0,71,1004.9
Jul-14,26.4,31,22.4,37.5,19.3,220.5,0,52.5,0,77.5,0,187.3,0,42,0,75,1006.7
Aug-14,26.5,30.7,23.5,36.1,19.7,340.5,0,22,0,61.5,0,108.9,0,26,0,78,1007.5
Sep-14,22.2,27.4,17.9,32,13.4,78.5,0,23.5,0,50.5,0,193.3,0,52,0,73,1010.9
Oct-14,17,22.4,12.7,28.1,5.4,195,0,14.5,0,59,0,176.8,0,51,0,76,1016
Nov-14,11.8,16.6,7.9,22.3,2.6,195.5,0,12,0,28.5,0,122.7,0,40,0,79,1017.4
Dec-14,3.6,7,1.2,16.4,-3.1,656.5,0,7.5,0,70,0,40.7,0,14,0,85,1015.9
Jan-15,3.2,6.6,0.7,12.8,-1.8,329.5,0,7.5,0,45.5,0,48.4,0,16,0,83,1017.2
Feb-15,3.9,7.8,0.7,14.9,-2.8,196.5,0,4.5,0,27,0,70,0,23,0,80,1016.3
Mar-15,7.6,12.9,3.1,24.3,-0.5,201.5,0,11.5,0,28.5,0,132,0,36,0,72,1017.1
Apr-15,13.9,18.8,9.1,29,3.1,195,0,10.5,0,57.5,0,159.5,0,41,0,70,1014.6
May-15,19.7,25.9,14.3,31.1,7.4,90,0,12,0,37,0,263.9,0,61,0,60,1008.6
Jun-15,22,26.4,18.2,31,13.2,156,0,13,0,52,0,154.8,0,36,0,74,1006.2
Jul-15,26.4,30.4,23,36.6,18.7,155,0,13,0,43,0,168.2,0,38,0,75,1007.1
Aug-15,26.9,31.8,23.5,36,20.1,114,0,15,0,25.5,0,195,0,47,0,76,1006.9
Sep-15,21.3,25.5,18.1,30.5,12.9,226.5,0,15,0,58,0,122.5,0,33,0,81,1010.8
Oct-15,16.3,22.1,11.6,25.9,5.6,100.5,0,28,0,38.5,0,201,0,58,0,74,1015.3
Nov-15,13.1,17.1,9.8,24.1,4.2,208,0,8.5,0,29,0,92.9,0,30,0,82,1019.7
Dec-15,7.5,11.6,3.7,19.1,-0.8,327,0,11.5,0,69,0,76.4,0,25,0,82,1019.6
Jan-16,4.1,7.7,1.4,15.5,-5.2,272.5,0,8.5,0,35,0,61.8,0,20,0,82,1017.5
Feb-16,4.6,9,1,16.7,-2,193.5,0,7,0,33.5,0,97.5,0,31,0,76,1019.5
