É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:35:36,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy
îNåé,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
Jan-14,-4.1,-1,-7.4,8.5,-11.4,111.5,0,6.5,0,17.5,0,87.8,0,30,0,69,1010.6
Feb-14,-3.5,-0.3,-7,7.8,-14.3,89,0,4,0,18.5,0,118.8,0,41,0,69,1015.6
Mar-14,0.5,3.7,-2.5,13.6,-8,64,0,3.5,0,11,0,155.5,0,42,0,68,1009.6
Apr-14,7.3,12.7,2.5,24.7,-0.8,24,0,3,0,8.5,0,257.8,0,64,0,53,1010.5
May-14,14,19.7,9.6,30,4.9,60,0,5.5,0,38.5,0,207.7,0,46,0,65,1005
Jun-14,18.7,23.3,15.6,33.7,13.3,99,0,5.5,0,41,0,182.4,0,40,0,73,1005.5
Jul-14,22.5,27,19.1,32.4,16.6,76.5,0,10.5,0,33.5,0,214.3,0,46,0,70,1004.7
Aug-14,22.4,26.6,19,31.7,14.2,217.5,0,16,0,61.5,0,178.9,0,42,0,73,1006.8
Sep-14,18.1,22.8,14.1,27.5,9.4,146,0,28.5,0,69.5,0,188.8,0,50,0,68,1009.2
Oct-14,11.3,15.7,7,21.4,0.6,124,0,19.5,0,28,0,145.4,0,43,0,64,1013.8
Nov-14,6.1,10.2,2,17.4,-2.8,64,0,5,0,11,0,109,0,37,0,66,1012.8
Dec-14,-1.3,1.7,-4.3,11.3,-8.2,128,0,7.5,0,34.5,0,66.3,0,24,0,67,1005.7
Jan-15,-1.5,1.2,-4.6,5.3,-9.4,143.5,0,6,0,22,0,102.5,0,35,0,70,1008.7
Feb-15,-0.8,1.9,-3.6,7.6,-10.1,59.5,0,3,0,10.5,0,95.4,0,33,0,68,1009.7
Mar-15,3.8,7.3,0.7,16.3,-4.5,125.5,0,7.5,0,69.5,0,144,0,39,0,67,1009.6
Apr-15,8.7,13.7,4.6,25.9,-1.3,90,0,7,0,37,0,220.4,0,55,0,59,1011.9
May-15,14.2,19.6,9.7,29.6,6.5,37,0,3.5,0,12,0,263.2,0,58,0,56,1003.9
Jun-15,16.7,21,13.5,27.8,9.4,66.5,0,14,0,35.5,0,151.4,0,33,0,73,1005.4
Jul-15,21.3,26,18,31.3,11.5,64,0,11,0,17.5,0,175,0,38,0,73,1005
Aug-15,22.4,26.4,19.4,34.5,14.7,131.5,0,39.5,0,72,0,158.6,0,37,0,73,1008
Sep-15,18.4,22.5,14.9,27,9.8,198,0,13,0,85,0,151.8,0,41,0,71,1010.4
Oct-15,10.8,15.2,6.7,22.1,1.3,98,0,5.5,0,26,0,150.9,0,44,0,61,1009.1
Nov-15,5.4,8.6,2.2,18.5,-6.9,137,0,5,0,32.5,0,108.2,0,37,0,67,1018.7
Dec-15,0.8,3.7,-2.2,10.7,-8,124,0,7,0,32.5,0,91.6,0,33,0,68,1013.1
Jan-16,-3.5,-1.3,-5.9,4,-10.7,74,0,6,0,12,0,88.2,0,30,0,65,1010.8
Feb-16,-2.3,0.7,-5.5,8.3,-10.9,109.5,0,6,0,23.5,0,99.3,0,33,0,66,1012.6
Mar-16,2.1,5.8,-1.8,13.5,-6.9,60.5,0,3.5,0,15.5,0,164.1,0,45,0,63,1013.5
Apr-16,7.8,12.4,4.2,21.1,0.1,58.5,0,6,0,17,0,174.9,0,44,0,58,1009
May-16,14.9,20.3,10.6,29.7,1.7,40.5,0,9,0,17.5,0,229.5,0,51,0,58,1008.5
