ダウンロードした時刻：2021/05/19 13:47:09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,7.2,12,2.2,17.8,-1.5,66.5,0,10,0,26.5,0,228.2,0,73,0,53,1015.7
Feb-14,7.6,11.5,3.7,19,-0.8,205,0,10.5,0,66,0,131.4,0,43,0,63,1015.5
Mar-14,10.5,15.3,5.8,24,-1.3,368.5,0,33.5,0,132,0,203.4,0,55,0,60,1012.6
Apr-14,14.2,18.8,9.6,26.5,2.6,209,0,24,0,123.5,0,199.5,0,51,0,64,1014.1
May-14,19,23.6,14.4,28.4,10.1,175,0,17.5,0,41.5,0,250.4,0,58,0,68,1009.3
Jun-14,22.7,26.5,19.4,32.6,17,97,0,9.5,0,21.5,0,170.7,0,39,0,76,1005.1
Jul-14,25.9,29.8,22.7,36.6,19.7,160,0,22.5,0,40.5,0,193.9,0,44,0,78,1007.1
Aug-14,27,30.9,24.2,36.6,20.7,160.5,0,40,0,69,0,151.8,0,36,0,77,1008.7
Sep-14,23.3,27.3,19.7,31.3,15.1,232,0,50,0,155.5,0,181.6,0,49,0,71,1010.3
Oct-14,19.4,23.6,16,30.8,11.4,490.5,0,61,0,193,0,138.6,0,40,0,72,1015.1
Nov-14,14.8,18.9,10.9,23.6,4.3,87.5,0,7,0,28.5,0,151.5,0,49,0,69,1015.4
Dec-14,7.7,12.3,3.4,18.9,-2.1,122.5,0,20,0,39,0,213.8,0,70,0,55,1012.7
Jan-15,6.9,11.5,2.2,16,-2.6,173.5,0,12.5,0,41.5,0,208.6,0,67,0,59,1012.9
Feb-15,7.6,12.4,2.9,22.5,-1.8,79.5,0,12,0,32,0,195.1,0,64,0,57,1012.8
Mar-15,10.9,15.5,6.3,21,0.7,146,0,8,0,34.5,0,218.1,0,59,0,61,1014.7
Apr-15,15.4,19.4,11.6,24.8,5.9,242,0,15,0,106,0,132.7,0,34,0,72,1014.6
May-15,20.5,24.9,16.4,29.9,13.2,212,0,58.5,0,138.5,0,230.8,0,53,0,69,1008.2
Jun-15,21.8,25.6,18.6,31.2,13.8,206.5,0,17.5,0,41.5,0,120.9,0,28,0,75,1006.5
Jul-15,26,29.9,23.2,35.6,18.9,457,0,25,0,132,0,165.4,0,38,0,80,1008.2
Aug-15,27.5,31.1,24.5,36.6,19.7,204,0,19,0,67.5,0,175.3,0,42,0,75,1007.3
Sep-15,23.3,27,20.4,33.1,17.5,615,0,38,0,106.5,0,136.1,0,37,0,77,1010.1
Oct-15,19.2,23.9,14.8,29.7,12,109.5,0,19,0,56.5,0,222.7,0,64,0,64,1013.2
Nov-15,15.5,19.4,12.1,24.1,3.9,196.5,0,20.5,0,35.5,0,138.3,0,45,0,72,1018.6
Dec-15,11.2,15.8,6.8,23.8,1,163,0,22.5,0,104,0,190.1,0,63,0,62,1016.9
Jan-16,7.1,12.2,2.3,17.6,-3.2,115,0,12.5,0,70,0,216.9,0,70,0,56,1014.1
