ダウンロードした時刻：2021/05/19 13:47:36,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,4.6,9.6,0.5,12.8,-2.1,38.5,0,4,0,20.5,0,214.1,0,69,0,59,1013.5
Feb-14,5.3,10.5,1.4,18.6,-2.8,132.5,0,7,0,44,0,189.2,0,62,0,55,1012.8
Mar-14,9.3,14.4,4.8,22.2,-1.6,153,0,23.5,0,51,0,215.1,0,58,0,59,1009.9
Apr-14,14.6,20.4,9.5,26.4,3.4,128,0,18,0,59,0,220.3,0,56,0,56,1009.7
May-14,19.5,25.6,14.4,33.3,7.7,154.5,0,12,0,59,0,273.7,0,63,0,57,1005.2
Jun-14,24,29,20.3,34.9,17.7,72,0,23,0,26,0,181,0,42,0,67,1000.2
Jul-14,27.4,32.3,23.6,38.2,19.2,106,0,17.5,0,30.5,0,194.9,0,44,0,69,1002.5
Aug-14,27.1,31.5,24.2,36.9,20.3,179,0,27,0,42,0,102.3,0,25,0,77,1003.6
Sep-14,23.4,28.4,19.5,33.1,15.3,195,0,30.5,0,86.5,0,186.5,0,50,0,65,1005.6
Oct-14,18.9,23.4,15.4,30,7.2,167.5,0,20.5,0,60,0,161,0,46,0,68,1010.6
Nov-14,13.2,17.7,9.4,24,4.3,96.5,0,8,0,28,0,159.3,0,52,0,67,1012
Dec-14,5.4,9.2,2.2,14.7,-2.4,83,0,6.5,0,22,0,157.9,0,52,0,67,1010.8
Jan-15,4.9,9.1,1.5,13.6,-2,116,0,12.5,0,30.5,0,170,0,55,0,64,1011.1
Feb-15,5.7,10.2,1.8,15.5,-1.5,35,0,3.5,0,13,0,174.7,0,58,0,61,1010.5
Mar-15,9.7,15.3,5.2,23.1,-1.1,139,0,11,0,35,0,197.7,0,54,0,60,1011.6
Apr-15,15.2,20,11.5,28.3,5.8,148.5,0,7.5,0,29.5,0,145.1,0,37,0,69,1009.9
May-15,21.3,27.1,16.3,33.1,12.1,98,0,15.5,0,43.5,0,251.3,0,58,0,57,1003.7
Jun-15,22.3,26.8,18.8,31.8,13.5,196,0,21,0,38.5,0,127.7,0,29,0,71,1001.7
Jul-15,26.5,30.5,23.5,36.7,18.6,227.5,0,12,0,53,0,144.7,0,33,0,78,1003.3
Aug-15,28.1,32.9,24.8,38.4,21.4,296.5,0,43,0,74,0,181,0,43,0,71,1002.2
Sep-15,23.1,27.5,19.8,30.8,16.3,262,0,30.5,0,53.5,0,159.5,0,43,0,71,1005.3
Oct-15,18.4,23.8,13.7,27.3,7.9,64.5,0,11,0,24.5,0,240.6,0,69,0,61,1009.7
Nov-15,14.3,18.6,10.8,24.1,4.5,137,0,8.5,0,22.5,0,136.4,0,44,0,73,1014.5
Dec-15,9.3,13.9,5.7,22.6,0.6,83,0,10,0,45,0,171.6,0,57,0,63,1013.9
Jan-16,5.8,10.3,1.9,15.7,-4.8,55,0,4,0,27.5,0,186.1,0,60,0,61,1011.9
