É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:48:37,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™
îNåé,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
Jan-14,3.6,7.1,0.1,10.3,-2.5,73.5,0,3.5,0,33,0,149.3,0,48,0,73,1009.9
Feb-14,4.3,7.5,1.6,13.9,-1.7,63.5,0,3,0,21.5,0,143.1,0,47,0,68,1009.9
Mar-14,7.2,11.2,3.7,19.8,-2,158,0,8,0,30,0,154,0,42,0,75,1006.6
Apr-14,12.2,17.7,7.6,24.5,2.8,62,0,4.5,0,32,0,216.1,0,55,0,67,1006.1
May-14,17.7,23.1,13.2,28.8,6.8,73.5,0,10,0,21,0,256.6,0,59,0,67,1001.5
Jun-14,23.1,27.6,19.6,33.8,15.7,53.5,0,9.5,0,20,0,162.9,0,38,0,70,996.2
Jul-14,26.4,31,22.9,37.7,19,102.5,0,17.5,0,23.5,0,201.1,0,46,0,74,998.4
Aug-14,26.6,31,23.6,35.8,20.2,430,0,49,0,79.5,0,108,0,26,0,78,999.2
Sep-14,22.6,27.1,18.8,30,14.3,89.5,0,23,0,40.5,0,191.1,0,51,0,71,1002
Oct-14,17.8,22.2,14.1,26.9,7.8,138.5,0,15,0,59,0,164.6,0,47,0,73,1006.9
Nov-14,12.2,16.1,8.4,19.9,2.6,66.5,0,6.5,0,24.5,0,140.3,0,45,0,73,1008.2
Dec-14,5.1,8,2.2,14.9,-2.2,138.5,0,5.5,0,19.5,0,83.5,0,28,0,71,1006.9
Jan-15,3.9,6.7,1.1,10.1,-2.7,196.5,0,7.5,0,24.5,0,65.1,0,21,0,78,1007.6
Feb-15,4.8,8.1,1.9,14.3,-1.8,75.5,0,3.5,0,19.5,0,112.1,0,37,0,73,1006.9
Mar-15,7.9,12.4,3.9,22.9,-2.2,136.5,0,10,0,30.5,0,167.5,0,45,0,71,1007.9
Apr-15,13.6,18.3,9.5,25.8,4.3,143.5,0,7.5,0,29,0,168.4,0,43,0,73,1005.9
May-15,19.3,24.9,14.8,29.6,9,100.5,0,14,0,35,0,246.6,0,57,0,64,1000
Jun-15,21.6,25.7,18.3,30.2,13.3,175.5,0,16,0,49.5,0,137.8,0,32,0,75,997.8
Jul-15,26.2,30,23.1,35.9,18.2,252,0,16.5,0,55.5,0,157,0,36,0,77,998.9
Aug-15,27.4,31.7,24.2,35.7,21,159.5,0,15,0,70.5,0,206.5,0,50,0,73,998.2
Sep-15,22.1,25.8,19.4,29.7,15.4,240.5,0,26.5,0,100.5,0,146.8,0,40,0,75,1001.8
Oct-15,17.2,21.9,12.9,24.9,8.1,45.5,0,19,0,29.5,0,228.6,0,65,0,68,1006.3
Nov-15,13.4,16.7,10.2,20.8,3.3,140.5,0,9.5,0,31,0,108.2,0,35,0,77,1010.6
Dec-15,8.6,12.1,5.1,21.4,0,118,0,19.5,0,53.5,0,114.1,0,38,0,72,1010.3
Jan-16,4.9,8.4,1.4,12.9,-5.4,101,0,5,0,33,0,127.5,0,41,0,71,1008.2
Feb-16,5.5,9.7,1.9,19.4,-2.5,84,0,6,0,22,0,153.9,0,49,0,69,1010.1
Mar-16,8.3,13,4.2,20,-0.5,72,0,7.5,0,27,0,195.2,0,53,0,69,1009.2
Apr-16,13.8,18.4,9.7,27.1,2.4,151,0,13,0,61,0,161.5,0,41,0,73,1003.6
May-16,18.8,23.9,14.6,31,10.2,130,0,13.5,0,29.5,0,219.1,0,51,0,71,1002.8
