ダウンロードした時刻：2021/05/19 13:49:36,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,5.9,9.8,2.2,15,-0.5,52,0,4.5,0,31,0,169.3,0,54,0,62,1011.4
Feb-14,5.8,9.8,2.5,16.7,-0.4,55,0,3.5,0,22.5,0,125.2,0,41,0,63,1011.3
Mar-14,9.9,14,6,21.5,0.2,153,0,19,0,41.5,0,192,0,52,0,61,1008
Apr-14,14.8,20,10.1,26.4,3.8,72.5,0,10,0,45,0,217,0,56,0,55,1007
May-14,19.8,24.9,15.5,30.6,10.6,81,0,15,0,25,0,263.2,0,61,0,60,1002.5
Jun-14,23.9,28.5,20.7,32.9,18.3,74.5,0,13.5,0,14,0,166.4,0,39,0,69,997.1
Jul-14,27.8,32.1,24.5,37.1,20.2,79,0,8.5,0,22.5,0,214.5,0,49,0,70,999.4
Aug-14,27.8,31.7,25,34.7,20.4,341,0,29,0,125.5,0,147.4,0,35,0,74,1000
Sep-14,24,28.8,20.3,32.6,16.8,94.5,0,29,0,46,0,191.8,0,52,0,65,1002.9
Oct-14,19.5,24.1,15.9,29.2,9.3,122,0,16.5,0,71,0,168.3,0,48,0,66,1007.7
Nov-14,14.2,18.3,10.5,22.8,6.2,74.5,0,9,0,31,0,159.7,0,51,0,65,1009.4
Dec-14,6.8,10.1,3.8,17.3,0.2,79.5,0,7,0,21,0,146.5,0,48,0,62,1008.9
Jan-15,6.1,9.3,3.3,14.1,0.3,93,0,9.5,0,27,0,123.3,0,40,0,65,1009.4
Feb-15,6.9,10.6,3.7,15.7,0,25.5,0,4,0,12.5,0,136.8,0,45,0,60,1008.6
Mar-15,10.2,14.4,6.3,23,0.7,174.5,0,13,0,46,0,175.4,0,48,0,62,1009.1
Apr-15,15.9,20.3,11.8,27,4.4,107,0,9,0,26.5,0,152.1,0,39,0,66,1006.6
May-15,21.5,27,16.9,31.3,12.1,104,0,18,0,45,0,249.3,0,58,0,59,1000.9
Jun-15,22.9,27.1,19.4,31.9,14.4,196,0,17.5,0,44.5,0,144.1,0,33,0,71,998.6
Jul-15,27,30.6,23.9,36.2,19.3,358,0,18,0,155.5,0,168.2,0,38,0,75,999.8
Aug-15,28.6,33.2,25.1,38,22.5,185.5,0,21.5,0,37,0,202.3,0,49,0,69,999.1
Sep-15,23.2,27.4,20,31.7,17,163,0,16,0,37,0,158.8,0,43,0,71,1002.7
Oct-15,19,24,14.7,27.9,10,40.5,0,16.5,0,26.5,0,231.2,0,66,0,60,1007.4
Nov-15,15.2,18.7,12.4,25.2,6.1,111.5,0,7.5,0,23,0,120.4,0,39,0,71,1011.6
Dec-15,10.1,13.8,6.8,22.5,1.7,90,0,25.5,0,49,0,144.3,0,47,0,65,1011.7
Jan-16,6.8,10.3,3.4,16.3,-3.5,66.5,0,7.5,0,50.5,0,161.3,0,52,0,61,1009.9
Feb-16,7.4,11.5,3.7,20.3,-0.5,81,0,8.5,0,38.5,0,170.4,0,54,0,60,1011.5
