ダウンロードした時刻：2021/05/19 13:50:02,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,6.2,9.7,3,13.9,0.4,29.5,0,3,0,20,0,171.6,0,55,0,60,1017.8
Feb-14,6.1,9.4,3.4,15.8,-0.2,40,0,3.5,0,14.5,0,130.4,0,43,0,62,1017.8
Mar-14,10,13.7,6.4,20,0.7,162,0,26,0,54,0,190.1,0,51,0,62,1014.4
Apr-14,14.6,18.8,10.8,24,4.7,72.5,0,8,0,45.5,0,210.2,0,54,0,56,1013.3
May-14,19.5,23.6,16,30.2,11.2,85,0,12.5,0,29,0,260.7,0,60,0,62,1008.7
Jun-14,23.8,27.5,21.2,31.5,19.1,45.5,0,9,0,16,0,164.8,0,38,0,68,1003.1
Jul-14,27.3,30.6,24.9,35.6,20.8,69.5,0,9,0,19,0,203.8,0,46,0,72,1005.4
Aug-14,27.4,30.2,25.3,33,21,354,0,49.5,0,125.5,0,115.3,0,28,0,75,1006
Sep-14,24.4,28.1,21.3,31.1,18.1,127,0,50,0,51.5,0,187.1,0,50,0,61,1008.9
Oct-14,19.9,23.3,16.8,27,10.4,118,0,17.5,0,68,0,165.6,0,47,0,62,1013.7
Nov-14,14.7,18.1,11.5,22,7.1,53,0,8.5,0,19.5,0,152.6,0,49,0,60,1015.7
Dec-14,6.9,10,3.9,18.2,-0.4,66,0,8,0,24,0,143.8,0,47,0,59,1015.4
Jan-15,6.3,9.3,3.6,15.1,0.1,83,0,9,0,26,0,122.7,0,39,0,63,1015.9
Feb-15,6.8,10,3.8,15.8,-0.9,23,0,2.5,0,11.5,0,127.8,0,42,0,60,1015.1
Mar-15,10.2,13.7,6.8,21.3,0,145,0,10.5,0,38,0,178.2,0,48,0,61,1015.5
Apr-15,16,19.3,12.6,24.3,5.8,115,0,9,0,30,0,152.3,0,39,0,65,1012.8
May-15,21.1,25.2,17.5,30.9,12.1,100,0,15,0,52.5,0,244.7,0,57,0,60,1007
Jun-15,22.7,26.1,19.9,29.6,15,151,0,13,0,49,0,146.4,0,34,0,71,1004.6
Jul-15,26.6,29.6,24.3,36,19.6,434,0,28.5,0,267,0,165.2,0,38,0,76,1005.7
Aug-15,28.3,31.7,25.7,36,23.3,136.5,0,22.5,0,32.5,0,207.4,0,50,0,69,1005
Sep-15,23.6,26.8,20.7,29.8,17.7,163,0,17.5,0,40.5,0,146.2,0,39,0,67,1008.6
Oct-15,19.4,23.3,15.9,26.5,11,38.5,0,12.5,0,22,0,240.4,0,69,0,57,1013.4
Nov-15,15.7,18.5,13.2,23.7,5.6,86.5,0,7.5,0,25.5,0,112.7,0,36,0,66,1017.7
Dec-15,10.4,13.7,7.3,22.1,3.2,102.5,0,27,0,60,0,144.4,0,47,0,62,1018
Jan-16,7,10.3,3.9,16,-4,46.5,0,7.5,0,35,0,152.3,0,49,0,59,1016.2
Feb-16,7.6,11.3,4.2,19.8,0.9,106.5,0,17,0,68,0,164.2,0,52,0,57,1017.8
