ダウンロードした時刻：2021/05/19 13:50:29,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,,,,15.5,-3.7,59.5,0,5.5,0,35,0,,,,,,1008.1
Feb-14,,,,17.8,-3,50.5,0,3.5,0,24,0,,,,,,1008
Mar-14,,,,22.5,-3.4,150,0,17,0,45.5,0,,,,,,1004.7
Apr-14,,,,26,1.5,59,0,4.5,0,33,0,,,,,,1003.9
May-14,,,,32.3,5.8,76.5,0,9,0,18.5,0,,,,,,999.4
Jun-14,,,,34.1,15.2,77.5,0,21,0,21,0,,,,,,994.2
Jul-14,,,,36.8,18.9,134,0,27,0,27,0,,,,,,996.5
Aug-14,,,,35.7,18.3,357.5,0,27.5,0,134.5,0,,,,,,997.2
Sep-14,,,,32,12.6,86,0,26.5,0,29.5,0,,,,,,1000
Oct-14,,,,28.8,5.1,123,0,20,0,58,0,,,,,,1004.7
Nov-14,,,,22.4,1.3,69.5,0,9.5,0,31.5,0,,,,,,1006.4
Dec-14,,,,15.3,-3.3,77.5,0,8.5,0,20,0,,,,,,1005.6
Jan-15,,,,13.8,-2.4,94,0,7.5,0,29,0,,,,,,1006.1
Feb-15,,,,16.8,-3.1,43.5,0,7,0,16,0,,,,,,1005.3
Mar-15,,,,24.6,-1.5,179.5,0,11,0,45.5,0,,,,,,1006
Apr-15,,,,27.7,3.2,111,0,7.5,0,23,0,,,,,,1003.6
May-15,,,,31.7,7.4,99,0,15,0,40,0,,,,,,997.9
Jun-15,,,,31.4,11.9,192.5,0,13.5,0,33.5,0,,,,,,995.6
Jul-15,,,,36,18.5,265.5,0,39.5,0,51.5,0,,,,,,996.9
Aug-15,,,,36.9,20.1,175,0,27.5,0,40.5,0,,,,,,996.3
Sep-15,,,,31.5,12.6,131,0,12.5,0,37,0,,,,,,999.8
Oct-15,,,,27.2,5.4,49,0,22.5,0,35,0,,,,,,1004.4
Nov-15,,,,24.6,2.8,116,0,5.5,0,23.5,0,,,,,,1008.6
Dec-15,,,,19.4,-1.9,56,0,8,0,18,0,,,,,,1008.6
Jan-16,,,,15.9,-4.8,71.5,0,8,0,52.5,0,,,,,,1006.7
Feb-16,,,,20.3,-4,88.5,0,13.5,0,38,0,,,,,,1008.3
Mar-16,,,,22.7,-2.6,82,0,9.5,0,41,0,,,,,,1007.2
Apr-16,,,,28,1.1,142.5,0,10,0,57,0,,,,,,1001.2
May-16,,,,30.7,7.9,119.5,0,11,0,30,0,,,,,,1000.5
Jun-16,,,,31.9,9.6,242,0,36.5,0,39.5,0,,,,,,996.7
Jul-16,,,,35.5,20.1,99,0,11,0,43,0,,,,,,997.5
Aug-16,,,,36.7,19.2,143.5,0,16,0,94.5,0,,,,,,992.5
Sep-16,,,,33.9,16.5,256.5,0,31.5,0,82.5,0,,,,,,1000.1
Oct-16,,,,31,6.3,54,0,9.5,0,17,0,,,,,,1005.1
Nov-16,,,,21.3,2.4,83.5,0,4.5,0,28.5,0,,,,,,1007.2
