ダウンロードした時刻：2021/05/19 13:52:13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,4.3,8.3,0.8,14.7,-1.7,187,0,8.5,0,43.5,0,81.9,0,26,0,76,1020
Feb-14,4.5,8.5,1.3,20.2,-1.2,113.5,0,4.5,0,30.5,0,67.1,0,22,0,74,1021
Mar-14,8.5,13.6,3.9,24.2,-2.6,183.5,0,9.5,0,50,0,138.3,0,37,0,70,1016.6
Apr-14,12.8,19.8,6.7,26.3,0,76,0,9.5,0,19,0,210.6,0,54,0,63,1015.3
May-14,18.5,24.6,12.4,32.2,5.1,77,0,6.5,0,22.5,0,253.9,0,59,0,62,1010
Jun-14,22.3,27.4,18.5,34.1,15.3,155.5,0,31.5,0,47,0,158.6,0,37,0,74,1005
Jul-14,26.3,31.2,22.4,37.8,19.2,118,0,10.5,0,35,0,194.2,0,44,0,75,1006.5
Aug-14,25.9,30.2,22.9,35.3,18.9,354.5,0,22.5,0,56,0,85.7,0,21,0,80,1007.2
Sep-14,21.8,27.6,17.5,31.2,12.9,70.5,0,13,0,16,0,175.7,0,47,0,76,1011.4
Oct-14,17,22.6,12.5,27.3,5.5,229.5,0,15,0,93,0,150.4,0,43,0,75,1016.6
Nov-14,12.3,17.3,8.1,22.6,4.4,128.5,0,13.5,0,28,0,118.3,0,38,0,76,1017.8
Dec-14,4.9,8.5,1.6,18.1,-1.6,196.5,0,6,0,27.5,0,72,0,24,0,73,1017.4
Jan-15,4.9,8.3,2.2,13.2,-1.5,285,0,9.5,0,40.5,0,44.8,0,14,0,75,1018.2
Feb-15,5.2,9.2,1.7,15.4,-2.2,105.5,0,5.5,0,16.5,0,71.8,0,24,0,71,1017.2
Mar-15,8.3,13.9,3.3,23.9,-2.4,147,0,7,0,30.5,0,150.5,0,41,0,68,1017.7
Apr-15,14,19.8,8.4,29.3,1.2,148.5,0,9,0,23.5,0,175.2,0,45,0,71,1014.5
May-15,19.4,26.2,13.3,31.8,7,84.5,0,10,0,43.5,0,246.9,0,57,0,64,1008.5
Jun-15,21.8,26.7,17.4,32.1,11.2,165,0,32,0,40.5,0,151.6,0,35,0,77,1006.1
Jul-15,26,30.5,22.7,36.7,17.2,114,0,8,0,20,0,153.2,0,35,0,78,1006.5
Aug-15,26.3,31.4,22.6,36.6,18.3,131.5,0,19.5,0,32,0,199.4,0,48,0,78,1006.9
Sep-15,21.1,25.5,17.7,30.4,13.3,181,0,9.5,0,41,0,130.5,0,35,0,81,1011.3
Oct-15,16.5,22.5,11.1,26.1,6.6,39,0,22,0,28,0,206.6,0,59,0,70,1015.9
Nov-15,13.5,17.7,9.9,23.7,2,152.5,0,7,0,20.5,0,80.8,0,26,0,79,1019.9
Dec-15,8.2,12.6,4.3,18.1,-0.2,196.5,0,10.5,0,60,0,84.9,0,28,0,78,1020.3
Jan-16,4.7,8.7,1.5,16.5,-5.4,183.5,0,5.5,0,44,0,73.2,0,24,0,76,1018.5
