É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:52:39,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç]
îNåé,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
Jan-14,4.6,8.9,1.1,14.5,-2.3,209.5,0,8.5,0,37,0,99.4,0,32,0,80,1019.2
Feb-14,4.7,8.4,1.9,17.1,-1.2,108,0,6,0,26.5,0,68.9,0,23,0,77,1020.3
Mar-14,8.5,13.3,4,24.3,-1.7,187,0,10,0,49.5,0,143.3,0,39,0,75,1015.9
Apr-14,13,19.1,7.9,26.3,1.5,82.5,0,6.5,0,22,0,213.1,0,55,0,69,1014.3
May-14,18.5,24,13,30.4,5.7,68,0,6.5,0,18.5,0,272.9,0,63,0,66,1009
Jun-14,22.1,26.4,19,32.4,16.1,118.5,0,30.5,0,34.5,0,136.6,0,31,0,77,1004.1
Jul-14,25.9,30.2,22.9,36,20.1,155.5,0,14.5,0,60.5,0,189.2,0,43,0,81,1005.6
Aug-14,25.3,28.9,22.9,34,20.1,294.5,0,15.5,0,54,0,74.8,0,18,0,85,1006.2
Sep-14,22.1,26.8,18.4,30.9,14,51,0,8,0,18,0,174.6,0,47,0,78,1010.5
Oct-14,17,21.7,13,26.6,6.9,251.5,0,16.5,0,86.5,0,162.7,0,47,0,78,1015.8
Nov-14,12.4,17.1,8.5,22.1,4.5,128,0,11.5,0,38,0,116.8,0,38,0,78,1017
Dec-14,5.2,8.5,1.9,15.3,-2.1,164.5,0,7.5,0,40,0,68.7,0,23,0,74,1016.8
Jan-15,5.1,8.6,2.2,12.6,-1.5,173,0,10,0,35.5,0,51.6,0,17,0,76,1017.7
Feb-15,5.4,9.4,1.9,15.2,-2.4,84.5,0,6,0,24.5,0,77.8,0,26,0,72,1016.6
Mar-15,8.3,13.3,4,23.6,-1.2,111.5,0,5.5,0,25.5,0,169.5,0,46,0,71,1016.9
Apr-15,13.8,18.6,9.2,26.3,1.8,184.5,0,10,0,31,0,182.4,0,47,0,73,1013.6
May-15,19.4,25.4,14.2,30.4,10.3,65,0,10,0,32.5,0,258.6,0,60,0,68,1007.6
Jun-15,21.5,26.2,17.9,29.8,13.6,154,0,13.5,0,45,0,143,0,33,0,80,1005.3
Jul-15,25.5,29.1,22.6,35.7,18.8,133.5,0,18.5,0,30.5,0,144.1,0,33,0,81,1005.6
Aug-15,26.1,30.4,23.2,35.7,17.5,106,0,8.5,0,21,0,201.1,0,48,0,82,1006
Sep-15,21.4,25.5,18.3,29,14.8,231,0,24.5,0,59.5,0,145.9,0,39,0,82,1010.6
Oct-15,16.8,21.6,12.1,25.7,6.9,56.5,0,9,0,43,0,213.4,0,61,0,74,1015.1
Nov-15,13.3,16.9,10,21.8,2.8,227,0,19,0,51,0,79.6,0,26,0,85,1019.1
Dec-15,8.2,11.8,4.9,17.9,-0.2,179.5,0,9,0,42,0,73.1,0,24,0,82,1019.6
Jan-16,4.8,7.9,2.1,16.2,-4.9,180,0,4.5,0,41.5,0,54.4,0,18,0,81,1017.9
Feb-16,5.5,10.3,1.5,19.4,-2.6,167.5,0,6.5,0,32,0,105.2,0,33,0,77,1019.2
Mar-16,9,14.2,4.6,23.2,-1.3,62,0,3.5,0,14.5,0,164.8,0,45,0,72,1018.1
Apr-16,14.4,19.7,9.9,26.9,4,146.5,0,8.5,0,43,0,177.1,0,45,0,75,1011.2
May-16,19.1,24.6,14.2,30.7,8.1,92,0,8,0,29,0,221.1,0,51,0,74,1009.7
