ダウンロードした時刻：2021/05/19 13:53:08,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,,,,14.1,-1.6,22.5,0,3.5,0,15.5,0,169.4,0,54,0,,1019.9
Feb-14,,,,17,-1.2,46,0,4,0,22,0,118.6,0,39,0,,1020
Mar-14,,,,20,-0.6,93,0,7.5,0,26,0,192,0,52,0,,1016.3
Apr-14,,,,25.3,2.6,53,0,6,0,16.5,0,197.5,0,51,0,,1014.8
May-14,,,,33.2,8.3,77,0,9.5,0,34,0,271.9,0,63,0,,1009.9
Jun-14,,,,34.1,17.5,57.5,0,5,0,17.5,0,132.3,0,31,0,,1004.4
Jul-14,,,,36.6,20.5,149.5,0,46.5,0,46.5,0,177.4,0,40,0,,1006.4
Aug-14,,,,34.8,21.2,263.5,0,14,0,55,0,78.6,0,19,0,,1006.8
Sep-14,,,,31.8,15.3,60.5,0,16,0,34.5,0,179.9,0,48,0,,1010.5
Oct-14,,,,28.1,8.2,189,0,16.5,0,77,0,163,0,47,0,,1015.6
Nov-14,,,,22.7,5.1,81,0,7,0,22.5,0,143.6,0,46,0,,1017.6
Dec-14,,,,17.6,-1.3,50,0,5.5,0,14.5,0,148.3,0,49,0,,1017.8
Jan-15,,,,15.1,-1.1,69.5,0,9.5,0,28,0,133.4,0,43,0,,1018.2
Feb-15,,,,14.4,-2.3,14.5,0,2.5,0,5.5,0,144,0,47,0,,1017.2
Mar-15,9,14.7,4.2,22.9,-3.2,100,0,5.5,0,29,0,190.4,0,52,0,64,1018.5
Apr-15,15.2,20.5,10.1,28.7,3.2,144,0,7.5,0,53.5,0,165.3,0,42,0,67,1015.5
May-15,20.7,27.1,14.8,33.6,9.8,74,0,9.5,0,22.5,0,244.7,0,57,0,60,1009.6
Jun-15,22.2,26.6,18.2,31.3,13,207.5,0,11.5,0,61.5,0,145.2,0,34,0,75,1007.3
Jul-15,26.4,30.8,23.2,36.1,18.8,215,0,18.5,0,136.5,0,151.1,0,34,0,79,1007.8
Aug-15,27.4,32.3,23.6,37.3,19.7,101,0,17.5,0,22,0,190,0,46,0,74,1007.7
Sep-15,22.2,26.9,18.4,29.9,14.1,130,0,18.5,0,33,0,138.6,0,37,0,75,1011.8
Oct-15,17.1,23.4,11.6,27,6.7,34,0,10.5,0,25.5,0,241.6,0,69,0,67,1016.8
Nov-15,13.8,18.1,9.8,23.4,2,152.5,0,12,0,45,0,114.5,0,37,0,78,1021
Dec-15,8.4,13.2,4.1,17.2,-1.7,91.5,0,15.5,0,34,0,152.9,0,50,0,73,1021.6
Jan-16,5.1,10.2,0.8,16.9,-4.9,49.5,0,4.5,0,32.5,0,141.2,0,45,0,70,1019.9
Feb-16,6.1,11.2,1.4,18.6,-2.1,51,0,8,0,19.5,0,154.7,0,49,0,66,1021.3
Mar-16,9.8,16,4.6,23,-0.6,56.5,0,7,0,31.5,0,197.8,0,54,0,63,1019.8
