É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:53:41,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá
îNåé,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
Jan-14,5.7,10.4,2.1,15.7,-0.7,45,0,5,0,18,0,169.2,0,54,0,68,1015.8
Feb-14,6.2,10.4,2.8,16.8,0,42,0,2,0,10,0,116,0,38,0,64,1015.6
Mar-14,10,15,5.8,22.5,-0.4,159.5,0,10,0,51,0,197.7,0,54,0,64,1012.4
Apr-14,14.3,19.4,9.6,24.5,2.2,79.5,0,6.5,0,21.5,0,191.3,0,49,0,59,1010.5
May-14,19.6,24.7,14.8,29.6,7.5,114.5,0,9.5,0,46.5,0,273.2,0,63,0,61,1005.8
Jun-14,23.2,27,20.1,30.3,17.6,119,0,9.5,0,33,0,133,0,31,0,73,1000.3
Jul-14,26.9,30.8,23.7,36.4,20.5,283,0,31,0,110.5,0,169.6,0,39,0,74,1002.4
Aug-14,26.9,30.3,24.4,33.8,20.2,337.5,0,46.5,0,74.5,0,84.8,0,20,0,78,1002.5
Sep-14,23.9,28.5,20.4,31.7,16.6,117,0,31.5,0,61.5,0,162.3,0,44,0,66,1006.3
Oct-14,18.7,23.4,14.9,29.2,8.5,143.5,0,21,0,39.5,0,186.1,0,53,0,67,1011.3
Nov-14,13.4,18.2,9.7,22.8,5.5,63.5,0,9.5,0,15.5,0,163.6,0,53,0,69,1013.4
Dec-14,5.5,9.5,2.2,16.4,-1.5,69,0,4.5,0,24,0,132.9,0,44,0,70,1014.3
Jan-15,5.8,9.8,2.8,15.1,-0.9,95.5,0,7,0,37,0,126.1,0,40,0,69,1014.5
Feb-15,6.1,10.5,2.8,13.8,-1,24,0,3.5,0,7,0,128.6,0,42,0,63,1013.4
Mar-15,10,14.8,5.8,21.3,-1,106.5,0,6,0,35,0,200.9,0,54,0,57,1013.3
Apr-15,15.8,20.2,11.6,25.4,5.6,198,0,12.5,0,46.5,0,150.5,0,39,0,63,1009.6
May-15,20.5,25.4,15.9,30.5,12.5,101,0,16,0,36.5,0,239.7,0,56,0,60,1004.3
Jun-15,22.5,26.4,19.3,30.1,14.5,237.5,0,15.5,0,82,0,149.4,0,35,0,69,1001.7
Jul-15,26.5,30.2,23.6,34.2,19.4,110,0,12,0,23.5,0,129.2,0,29,0,72,1002.3
Aug-15,27.5,31.6,24.1,35.9,20.1,215.5,0,23,0,53,0,201.8,0,49,0,68,1002.3
Sep-15,23.1,27.6,19.8,30.8,16.6,159.5,0,22,0,64,0,150.4,0,41,0,66,1006.2
Oct-15,18,23.6,13.3,27.1,8.6,94,0,19.5,0,57,0,227,0,67,0,58,1011.4
Nov-15,14.6,18.4,11.5,24.4,3.2,192.5,0,22.5,0,47,0,112.4,0,36,0,69,1015.3
Dec-15,9.3,13.4,5.8,17.8,1,107,0,9.5,0,45.5,0,147.4,0,48,0,65,1016.1
Jan-16,5.6,10,2.3,16.3,-3.9,66.5,0,4.5,0,26.5,0,126.8,0,41,0,66,1014.6
Feb-16,6.5,11,2.7,16.3,-0.9,95,0,10,0,55,0,134.1,0,42,0,60,1016
Mar-16,10.4,15.6,6.2,22.5,-0.3,67,0,5.5,0,34.5,0,197.8,0,54,0,58,1014.1
Apr-16,16.2,21.3,11.8,26.4,5.7,274,0,14.5,0,56.5,0,182.5,0,47,0,62,1007.6
May-16,20.3,25,15.8,30.8,9.7,184,0,15,0,42,0,216,0,50,0,61,1006.6
