ダウンロードした時刻：2021/05/19 13:54:06,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,4.4,10.1,0,15.4,-2.6,86.5,0,5.5,0,20.5,0,154.1,0,49,0,79,1020.4
Feb-14,5.5,10.7,1.3,19.4,-3.4,100.5,0,6.5,0,39,0,115.6,0,38,0,74,1019.6
Mar-14,9.4,15.5,4,22.6,-2.5,162.5,0,9.5,0,49.5,0,171.9,0,47,0,71,1016.8
Apr-14,13.5,20.2,7.4,25.4,0.2,92.5,0,6.5,0,21,0,166.5,0,43,0,68,1014.5
May-14,18.8,25.7,12.3,32.2,3.4,170,0,16,0,95,0,273.8,0,64,0,64,1009.9
Jun-14,22.3,27.2,18.5,32.5,15.9,120.5,0,8,0,32.5,0,105,0,24,0,76,1004.2
Jul-14,26.1,30.9,22.4,36.9,19.1,364.5,0,41.5,0,125,0,150.9,0,34,0,77,1006.3
Aug-14,26.1,30.1,23.4,32.9,16.9,299,0,27.5,0,81.5,0,74,0,18,0,81,1006.1
Sep-14,23,28.5,18.7,32.4,13.6,72.5,0,9,0,29,0,147,0,40,0,72,1010.1
Oct-14,17.7,23.7,12.8,29.4,6.2,65,0,9.5,0,22.5,0,172,0,49,0,74,1015.2
Nov-14,12.2,18.1,7.3,22,1.9,83.5,0,12.5,0,31.5,0,135.6,0,44,0,79,1017.6
Dec-14,4.6,9.2,0.6,16.7,-1.8,98.5,0,7,0,21.5,0,104.6,0,34,0,76,1019.2
Jan-15,5.2,10,0.9,13.2,-3.1,139,0,10.5,0,44,0,113.8,0,36,0,76,1019.1
Feb-15,5.3,10.5,1,14.9,-3.7,81.5,0,6,0,28.5,0,102.4,0,34,0,74,1018
Mar-15,9.2,15.4,3.6,23.1,-2.9,96,0,6,0,25.5,0,192.2,0,52,0,67,1017.7
Apr-15,15.4,21.1,10.2,28,4.1,231.5,0,24,0,50.5,0,163,0,42,0,70,1013.6
May-15,19.8,26.4,13.9,33.3,9.4,189,0,25,0,68,0,233.2,0,54,0,67,1008.3
Jun-15,21.9,26.5,18.2,32.2,11.7,350.5,0,25.5,0,92,0,121.1,0,28,0,77,1005.5
Jul-15,25.7,29.8,22.7,36.8,17.9,201,0,30.5,0,64.5,0,103.7,0,24,0,79,1006.1
Aug-15,26.8,32,22.6,37.2,18.7,285,0,30.5,0,90,0,202.7,0,49,0,76,1006.1
Sep-15,22.4,27.7,18.5,30.8,15.1,129.5,0,15.5,0,56.5,0,152.6,0,41,0,75,1010.1
Oct-15,16.8,23.9,11,27.3,6,100,0,15,0,85,0,237.9,0,68,0,72,1015.6
Nov-15,14,18.8,9.9,25.3,2.2,130.5,0,13,0,37,0,114.9,0,37,0,82,1019.3
Dec-15,7.9,13.2,3.6,17.5,-2.3,127.5,0,8.5,0,71,0,116,0,38,0,82,1020.6
Jan-16,4.4,9.2,0.7,17.3,-7.4,101.5,0,6.5,0,35.5,0,89.9,0,29,0,83,1019.4
