ダウンロードした時刻：2021/05/19 13:54:36,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,6.2,10.3,2.1,15,-1.7,26,0,4.5,0,19.5,0,204.2,0,65,0,64,1021
Feb-14,6.1,9.7,3,17.4,0.4,106,0,30,0,60,0,124.7,0,41,0,66,1020.9
Mar-14,10.1,14.4,6.1,21.7,0.7,88,0,21,0,33.5,0,190.7,0,52,0,64,1017.3
Apr-14,14.2,18.6,9.9,24,4.2,139,0,29.5,0,91,0,195.5,0,50,0,64,1016.1
May-14,19.4,24.2,14.9,28.8,10.7,67,0,11.5,0,28,0,271.1,0,63,0,64,1011.4
Jun-14,23,26.8,20,31.5,17.9,168.5,0,16.5,0,39,0,148,0,34,0,75,1005.9
Jul-14,26.9,30.8,23.8,35.1,20.3,111.5,0,11.5,0,41.5,0,196.4,0,45,0,75,1008
Aug-14,26.5,30.2,23.9,34.4,20.1,1065.5,0,51,0,314,0,116.3,0,28,0,81,1008.4
Sep-14,23.9,27.9,20.5,30.8,16.9,163,0,82,0,108.5,0,182.4,0,49,0,68,1011.8
Oct-14,19.3,23.1,15.7,28.1,10.6,427,0,54.5,0,223.5,0,169,0,48,0,70,1016.6
Nov-14,14.1,17.9,10.4,21.9,4.9,48,0,8,0,19.5,0,144.5,0,46,0,68,1018.7
Dec-14,6.7,10.5,3.3,19.6,-0.3,124.5,0,21,0,92.5,0,155.2,0,51,0,62,1018.8
Jan-15,6.6,10.1,3.4,16.5,0.1,80,0,13.5,0,42,0,146.2,0,47,0,62,1019.1
Feb-15,7,11.1,3.3,16.8,-0.4,23.5,0,4,0,15,0,172.1,0,56,0,57,1018.2
Mar-15,9.9,14,5.9,21.2,0.4,153,0,10,0,53.5,0,193,0,52,0,64,1018.6
Apr-15,15.6,19.9,11.6,26.1,4.9,122,0,7,0,31,0,145,0,37,0,71,1015.5
May-15,20.8,25.7,16.3,31.4,11.6,54,0,9.5,0,40.5,0,246.8,0,57,0,64,1009.8
Jun-15,22.4,26.1,19.3,31.1,15.2,150,0,9,0,24,0,133.4,0,31,0,76,1007.3
Jul-15,25.9,29.4,23.2,35.8,19.3,401,0,34,0,132.5,0,156.9,0,36,0,82,1008.1
Aug-15,27.6,31.7,24.6,35.9,22.3,290,0,42.5,0,117.5,0,208.4,0,50,0,74,1007.8
Sep-15,23.2,26.6,20.2,30.3,17.8,232.5,0,46,0,83,0,156.4,0,42,0,73,1011.6
Oct-15,18.9,23.4,14.5,27.2,9.9,11,0,6.5,0,8,0,241.7,0,69,0,60,1016.6
Nov-15,15.3,18.4,12.4,23.5,4.3,184,0,20,0,61.5,0,97.6,0,31,0,75,1020.8
Dec-15,10.5,14.2,7.2,20.5,2.7,284.5,0,56,0,135,0,167.6,0,55,0,65,1021.2
Jan-16,6.8,10.6,3.5,18.2,-4.1,49.5,0,11,0,28.5,0,152.8,0,49,0,64,1019.6
