ダウンロードした時刻：2021/05/19 13:55:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,5.8,10,1.8,14.9,-1.9,41,0,5.5,0,21.5,0,169.6,0,54,0,65,1020.4
Feb-14,5.7,9.5,2.1,19.1,-1.2,63.5,0,7,0,19.5,0,118.9,0,39,0,66,1020.5
Mar-14,9.8,14.5,5.5,20.9,-0.9,71.5,0,9,0,21.5,0,186.4,0,50,0,61,1016.9
Apr-14,14.3,19.8,9.2,25.2,3,55.5,0,4,0,14.5,0,189.1,0,49,0,59,1015.3
May-14,19.8,25.7,14.8,31.4,9.2,57.5,0,10.5,0,28,0,277.1,0,64,0,58,1010.4
Jun-14,23.6,27.9,20.3,32.9,16.8,45,0,5,0,19,0,136.6,0,32,0,70,1004.8
Jul-14,27.6,31.9,24.1,37.1,20.7,80,0,10.5,0,27,0,186.9,0,43,0,70,1007
Aug-14,26.9,31,24.2,35.4,20.4,433,0,24,0,90.5,0,95.1,0,23,0,79,1007.3
Sep-14,24,28.4,20.2,33,16.5,64,0,12.5,0,23.5,0,171.8,0,46,0,68,1010.9
Oct-14,19.1,23.1,15.4,29,9,201,0,25.5,0,84,0,161.6,0,46,0,70,1015.9
Nov-14,13.6,17.7,9.5,22,5.1,60.5,0,4,0,19,0,152.5,0,49,0,71,1018
Dec-14,6.5,9.9,3.1,17.1,-1.6,56,0,7,0,15.5,0,130.3,0,43,0,62,1018.3
Jan-15,6.3,9.7,3,15.1,-0.7,75,0,13.5,0,39.5,0,129,0,41,0,63,1018.8
Feb-15,6.5,10.6,2.7,15.1,-0.6,22.5,0,3.5,0,16,0,144.2,0,47,0,59,1017.8
Mar-15,9.5,14.1,5.5,23,0.3,95.5,0,5.5,0,27,0,169.3,0,46,0,65,1018
Apr-15,15.4,19.9,11.2,26.8,5.3,124,0,7.5,0,43.5,0,148.3,0,38,0,69,1014.5
May-15,21,26.8,16,31.9,11.6,70,0,13,0,32.5,0,252.7,0,59,0,60,1008.7
Jun-15,22.5,26.5,19,31.9,14.5,139.5,0,12.5,0,34.5,0,131.1,0,30,0,76,1006.3
Jul-15,26.7,30.8,23.5,36.5,18.7,214.5,0,26.5,0,79.5,0,155.2,0,35,0,78,1006.8
Aug-15,28.1,32.6,24.8,36.4,22.2,141.5,0,25.5,0,61.5,0,201.3,0,49,0,72,1006.8
Sep-15,23.1,27,19.8,31.1,15.5,110,0,9,0,33,0,143.5,0,39,0,74,1010.7
Oct-15,18.4,23.7,13.5,29.2,8.7,23,0,6,0,11.5,0,239.3,0,68,0,61,1015.8
Nov-15,15,18.2,11.6,23.9,4.4,83.5,0,5,0,16,0,103.3,0,33,0,76,1019.9
Dec-15,9.9,13.4,6.2,17.8,0.5,110.5,0,19,0,39.5,0,150.9,0,49,0,67,1020.5
Jan-16,6.6,10.4,3.2,16.8,-2.5,47,0,10,0,31,0,118.6,0,38,0,65,1018.9
Feb-16,6.9,11,2.8,17.6,-1.8,45,0,6,0,17.5,0,161.8,0,51,0,62,1020.3
