ダウンロードした時刻：2021/05/19 13:55:56,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,7,12.8,2,17.8,-1.3,38.5,0,5,0,21,0,215.7,0,69,0,62,1020.7
Feb-14,8.1,12.8,4.1,20.2,0.8,132.5,0,22.5,0,86.5,0,149.8,0,49,0,59,1019.1
Mar-14,11.4,16.7,6.6,25.2,-0.4,259,0,30.5,0,130,0,212.5,0,58,0,62,1017.3
Apr-14,15.3,20.5,10.3,25.3,2.7,214,0,18.5,0,75.5,0,192.3,0,49,0,65,1015.9
May-14,19.8,25,14.8,28.9,8.5,202,0,17,0,75.5,0,259.3,0,60,0,65,1011.6
Jun-14,22.7,26.6,19.5,31,17.3,297,0,35,0,104,0,123.9,0,29,0,77,1005.9
Jul-14,26.9,31,23.5,35.3,19.5,195,0,33.5,0,66.5,0,188.5,0,43,0,76,1008.5
Aug-14,26.6,29.9,24.2,35.5,20.7,1561,0,74,0,372,0,80,0,19,0,84,1008.4
Sep-14,23.9,28.8,20.2,32.4,16,319,0,57,0,133,0,155.3,0,42,0,71,1011.4
Oct-14,20.3,25.1,16.2,29.5,9.5,259,0,34.5,0,139.5,0,162.7,0,46,0,67,1015.7
Nov-14,14.9,20.2,10.5,25,4.6,72.5,0,6.5,0,24.5,0,171.6,0,55,0,68,1018.2
Dec-14,6.7,12.1,2.3,20.7,-1.4,109,0,20,0,78.5,0,183.4,0,60,0,64,1019
Jan-15,7.2,12.3,2.7,18.2,-2.9,123,0,18,0,48,0,192,0,61,0,60,1018.9
Feb-15,7.3,12.7,2.4,18.1,-2.7,72.5,0,12.5,0,44.5,0,187.4,0,61,0,58,1018.1
Mar-15,11.2,16,6.6,22.2,-1.6,254,0,24.5,0,78,0,204.4,0,55,0,66,1018.2
Apr-15,17.2,21.6,13.1,25.6,8,270,0,30,0,104,0,133.6,0,34,0,74,1015.1
May-15,20.7,25.8,16,29.6,10.8,185.5,0,34.5,0,121,0,229.9,0,54,0,70,1010.1
Jun-15,22.3,26.1,19.3,30.4,15.7,314.5,0,9.5,0,49.5,0,102.5,0,24,0,83,1007.4
Jul-15,26.2,30,23.4,36.7,19.4,478.5,0,34.5,0,87,0,131,0,30,0,85,1008.4
Aug-15,27.6,31.8,24.2,35.2,22,325.5,0,71.5,0,75.5,0,192.6,0,47,0,78,1007.9
Sep-15,23.9,28.8,20.1,31.7,17.1,376,0,27,0,211,0,156.9,0,42,0,72,1010.8
Oct-15,19.1,25.2,13.7,29.2,9.6,54,0,10.5,0,38.5,0,245.7,0,70,0,60,1016.1
Nov-15,16.2,20.6,12.8,24.7,4.3,198,0,28.5,0,83,0,132.9,0,43,0,76,1020.1
Dec-15,10.9,16.1,6.5,22.8,1.2,315,0,47.5,0,136.5,0,189.5,0,62,0,67,1020.7
Jan-16,7.1,12.2,2.7,20.3,-4,73.5,0,7,0,37.5,0,154.6,0,49,0,65,1019.4
