ダウンロードした時刻：2021/05/19 13:56:20,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,7.5,11.7,3.9,17.3,0.6,57.5,0,6.5,0,25.5,0,146.3,0,47,0,62,1021.2
Feb-14,7.6,11.3,4.5,20.9,1.1,83,0,4.5,0,15.5,0,105.2,0,34,0,68,1019.8
Mar-14,11.5,16.1,7.6,23.2,1.6,102.5,0,9,0,19,0,175.1,0,47,0,66,1017.5
Apr-14,15.6,20.6,11.4,24.9,5.6,61,0,5,0,17.5,0,179.9,0,46,0,63,1014.7
May-14,20.5,25.8,16,30.8,9.6,94,0,10,0,55,0,280.7,0,65,0,59,1010.4
Jun-14,22.6,26.6,20.1,30.7,17,101,0,10,0,38,0,107.9,0,25,0,79,1004.5
Jul-14,27.1,30.9,24.2,37,20.1,373,0,29.5,0,102,0,148,0,34,0,79,1006.5
Aug-14,26.5,29.7,24.4,32.6,21.1,462.5,0,34,0,87,0,79.7,0,19,0,85,1006.3
Sep-14,24.2,28.2,21.2,30.8,16.7,107,0,22,0,61,0,159.5,0,43,0,75,1010.4
Oct-14,19.7,24,16.2,29,11.2,144.5,0,22,0,105,0,183.6,0,52,0,69,1015.5
Nov-14,14.7,18.9,11.2,23.8,7.4,106,0,13,0,30.5,0,138,0,44,0,69,1018.1
Dec-14,7.6,10.9,4.5,18.7,0.2,73.5,0,5,0,20.5,0,105.9,0,34,0,58,1020.4
Jan-15,7.9,11.1,4.8,16.2,-0.9,83.5,0,11.5,0,33,0,112.2,0,36,0,62,1020
Feb-15,7.6,11.2,4.6,15.7,0.6,42.5,0,8,0,12.5,0,114.3,0,37,0,62,1019
Mar-15,11.1,15.4,7.4,22,1.6,94.5,0,7,0,20.5,0,193.7,0,52,0,61,1018.6
Apr-15,16.2,21,12.4,28.3,7.5,239.5,0,14.5,0,48.5,0,161.9,0,42,0,70,1014
May-15,20.7,25.3,17,30.2,13.6,120.5,0,21,0,34.5,0,230.5,0,54,0,68,1008.6
Jun-15,22.6,26.3,20.1,30.9,15.6,222.5,0,17,0,43,0,124.6,0,29,0,80,1005.7
Jul-15,26,29.8,23.2,34.7,18.9,266,0,29,0,51.5,0,149.2,0,34,0,82,1006.2
Aug-15,27.4,31.4,24.7,35.8,21.2,319.5,0,46.5,0,75.5,0,203.5,0,49,0,78,1006.5
Sep-15,23.2,27.3,20.3,30,17.1,146,0,14.5,0,24,0,158.1,0,43,0,78,1010.5
Oct-15,18.9,23.5,14.8,29.2,11.3,83,0,18,0,67.5,0,231.2,0,66,0,67,1016.2
Nov-15,16,19.6,12.9,27.5,5.2,140.5,0,17.5,0,41,0,101.8,0,33,0,76,1019.6
Dec-15,10.3,13.5,7.4,18.2,1.3,109.5,0,5.5,0,28.5,0,91,0,30,0,72,1021.4
Jan-16,7,9.9,4.4,16.5,-4,92,0,4.5,0,31,0,59.3,0,19,0,71,1020.4
