ダウンロードした時刻：2021/05/19 13:57:13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,7.8,12,3.9,17.4,0.2,30,0,6,0,16.5,0,155.5,0,49,0,65,1018.7
Feb-14,8.1,11.9,4.8,19.3,1.4,106,0,12,0,31,0,118.2,0,39,0,68,1016.2
Mar-14,11.9,16,8,24,1.1,154.5,0,18,0,67.5,0,174.9,0,47,0,67,1015
Apr-14,15.6,20,11.7,24.8,6.1,114,0,12.5,0,38,0,157.9,0,41,0,67,1012
May-14,19.4,23.9,15.3,28.5,9.3,113.5,0,14,0,57.5,0,248.3,0,58,0,69,1008.2
Jun-14,22.1,25.5,19.8,28.4,16.9,226.5,0,14,0,59.5,0,101.3,0,24,0,80,1001.9
Jul-14,26.1,29.6,23.7,36.2,20,417.5,0,62,0,123,0,139.7,0,32,0,81,1004.4
Aug-14,26.7,29.8,24.4,34.5,22,483,0,35,0,107,0,102.3,0,25,0,81,1003.7
Sep-14,24.2,28.2,21.2,31.6,16.6,159.5,0,32,0,51,0,149.9,0,40,0,74,1007.4
Oct-14,20.2,24.5,16.7,30.1,11.5,129.5,0,28.5,0,53,0,188.5,0,54,0,68,1012
Nov-14,14.9,19,11.4,22.7,6.7,61,0,10,0,26,0,136.2,0,43,0,69,1015.5
Dec-14,7.4,11,4,19.2,-0.7,138.5,0,9.5,0,33.5,0,88.3,0,29,0,68,1018.2
Jan-15,7.9,11.4,4.6,16.3,0,119,0,14,0,39,0,124.4,0,39,0,67,1017.6
Feb-15,7.6,11.2,4.5,15,0.2,40,0,2.5,0,10.5,0,99,0,32,0,65,1016.5
Mar-15,11.1,15.5,7.2,24,1.7,182,0,21.5,0,76,0,180.8,0,49,0,64,1015.9
Apr-15,16.5,21.1,12.5,26.7,8.5,248.5,0,26.5,0,52.5,0,143.2,0,37,0,72,1011.2
May-15,19.9,24.1,16.4,28.1,12.1,168.5,0,20,0,33.5,0,201.5,0,47,0,74,1006.3
Jun-15,21.7,24.9,19.3,28.9,15,456.5,0,28.5,0,96,0,82,0,19,0,87,1003.3
Jul-15,25.7,29.3,23.2,34.7,19,310,0,20.5,0,64.5,0,125.2,0,29,0,83,1003.9
Aug-15,26.8,30.4,24.1,35.9,21,412.5,0,79,0,147,0,205.8,0,50,0,81,1004.2
Sep-15,23.6,27.8,20.6,31.5,17.6,180,0,24.5,0,41.5,0,173.7,0,47,0,75,1007.4
Oct-15,19.3,24,15.3,27.7,11.1,59,0,12,0,38,0,220.2,0,63,0,65,1013.3
Nov-15,16.4,20.2,13.3,25.3,4.7,112.5,0,7.5,0,26,0,89.7,0,29,0,77,1016.8
Dec-15,10.6,14.3,7.3,18.4,0.9,103.5,0,9.5,0,35.5,0,108.7,0,35,0,71,1018.8
Jan-16,7.3,10.5,4.2,17.2,-4.4,96.5,0,6,0,38,0,59.2,0,19,0,73,1017.9
Feb-16,8.1,12.3,4.3,21.1,0.8,77,0,19.5,0,33,0,121.5,0,38,0,64,1019.2
