É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:58:34,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË
îNåé,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
Jan-14,7.9,13.8,2.3,19.4,-1.7,22.5,0,5.5,0,9,0,223.4,0,70,0,67,1020.2
Feb-14,8.7,13.2,4.6,24.9,-0.4,213,0,12,0,45,0,156.5,0,51,0,77,1017.9
Mar-14,12.3,17.7,6.9,24.3,0,126,0,11,0,30,0,212,0,57,0,68,1016.7
Apr-14,16,20.4,11.6,26,4.6,197.5,0,11,0,88.5,0,182.6,0,47,0,71,1014.4
May-14,20,24.8,15.4,29.3,9.1,223.5,0,23,0,76,0,226.9,0,53,0,71,1010.5
Jun-14,22.2,25.5,19.7,30.7,16.7,592,0,21.5,0,103,0,84.7,0,20,0,85,1004.5
Jul-14,27.2,31.1,24,37.3,19.4,298.5,0,25,0,66.5,0,190.9,0,44,0,79,1007
Aug-14,27.3,31.5,24.3,34.8,22,455,0,42,0,200,0,138.5,0,34,0,83,1006.3
Sep-14,23.7,27.4,20.8,31.5,16.9,264,0,24.5,0,64.5,0,124.5,0,34,0,86,1010.1
Oct-14,20.4,24.9,16.2,29.5,8.4,196,0,14,0,68,0,178.3,0,51,0,76,1013.8
Nov-14,14.9,19.9,10.4,24.8,4.7,105.5,0,14,0,26,0,151.3,0,48,0,80,1017.4
Dec-14,8,13.3,3.1,18.8,-1.7,38,0,6,0,19.5,0,202.4,0,65,0,68,1019.2
Jan-15,8.3,13.5,3.4,18,-1.2,123.5,0,30,0,40.5,0,215.5,0,68,0,66,1018.8
Feb-15,8,13.4,3.1,19.2,-1.7,86,0,7,0,36.5,0,168.7,0,55,0,66,1017.9
Mar-15,12.1,16.6,7.8,23.8,1.4,120.5,0,11.5,0,36,0,189.3,0,51,0,71,1017.5
Apr-15,17.9,22.3,14,28,9.5,338.5,0,24.5,0,85.5,0,134.6,0,35,0,78,1013.4
May-15,20.6,25,16.5,29.9,13.4,115,0,9,0,21,0,190.4,0,45,0,77,1008.7
Jun-15,21.8,24.9,19.2,32.6,15.7,839.5,0,30,0,105,0,72.4,0,17,0,90,1006
Jul-15,25.7,29.2,23.2,36.1,17.8,573,0,35.5,0,116,0,122.7,0,28,0,86,1006.7
Aug-15,27.2,31.1,24,34.9,21.5,274.5,0,24.5,0,64,0,205.4,0,50,0,80,1006.6
Sep-15,23.7,27.9,20.4,31.6,17.3,244.5,0,45,0,51,0,154.5,0,42,0,81,1009.6
Oct-15,19,24.6,13.7,30.8,9.9,19,0,3,0,10,0,240.9,0,68,0,73,1015.2
Nov-15,16.9,21,13.5,28,5.4,252,0,26,0,108,0,103.5,0,33,0,81,1018.8
Dec-15,11.4,16.5,7.1,23,-0.4,207,0,31.5,0,124.5,0,168.6,0,54,0,74,1020.2
Jan-16,8.1,13,3.9,20.5,-3.5,111.5,0,20,0,40.5,0,152.7,0,48,0,72,1019.2
Feb-16,9.1,14.5,4.4,22.4,-0.4,102,0,11,0,51.5,0,197.6,0,62,0,64,1020.3
Mar-16,12.2,17.2,7.3,23.5,-0.5,156,0,10.5,0,47.5,0,196.9,0,53,0,71,1017.8
Apr-16,17.6,21.2,13.9,26.3,7.5,240,0,23,0,52,0,119.9,0,31,0,80,1011.8
May-16,21.2,25.3,17.4,28.8,13.1,256.5,0,18,0,53.5,0,185.2,0,44,0,79,1011.1
