ダウンロードした時刻：2021/05/19 13:59:02,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,9.2,14.3,4.6,20.1,0.5,59.5,0,15,0,22,0,183.3,0,57,0,65,1018.7
Feb-14,10.5,14.5,6.6,23.5,1.9,155.5,0,16.5,0,47.5,0,134.1,0,44,0,70,1015.5
Mar-14,13.1,18.1,8.6,25.4,2.3,189,0,17,0,60.5,0,189.9,0,51,0,66,1015.2
Apr-14,16.9,21.4,13.3,25.8,6.3,114.5,0,9,0,36.5,0,168.5,0,44,0,69,1012.3
May-14,20.4,25.3,16.3,30.3,9.8,225.5,0,24.5,0,77.5,0,208.2,0,49,0,70,1008.7
Jun-14,23.1,26.9,20.4,30,17.9,672,0,34.5,0,176,0,104.4,0,25,0,80,1002.4
Jul-14,27.5,31.3,24.7,35.7,21.2,363,0,41,0,108.5,0,164.6,0,38,0,78,1005.3
Aug-14,27.7,31,25.4,33.5,23.1,445,0,36.5,0,93,0,122.6,0,30,0,81,1004.4
Sep-14,25.3,28.9,22.5,32.7,17.5,294.5,0,24,0,147,0,140,0,38,0,78,1007.7
Oct-14,22,26.1,18.2,30.5,12.7,81,0,18,0,38,0,184.1,0,52,0,68,1011.4
Nov-14,16.6,21,12.6,25.3,7.2,132.5,0,20,0,39,0,141.7,0,45,0,71,1015.3
Dec-14,9.1,13.5,5.2,20,1.1,102,0,12,0,35,0,130.9,0,42,0,69,1017.9
Jan-15,9.1,13.6,5.1,17.8,0.6,156.5,0,34,0,51,0,153.1,0,48,0,68,1017.5
Feb-15,9.1,13.5,5.2,18.3,1,79,0,11.5,0,39,0,124,0,40,0,64,1016.5
Mar-15,12.9,17.7,8.8,25.2,2.3,105.5,0,7.5,0,17.5,0,171.2,0,46,0,68,1015.8
Apr-15,18.8,23.1,15.2,27.6,9.4,199,0,31,0,55.5,0,95.5,0,26,0,74,1011.4
May-15,21.2,25.4,17.6,31.7,12.7,234.5,0,26,0,64.5,0,167.2,0,39,0,75,1006.8
Jun-15,22.7,25.6,20.4,29.8,17,1300.5,0,42.5,0,160,0,63.2,0,15,0,89,1004
Jul-15,26.7,30.2,24.2,35.2,18.9,529.5,0,29.5,0,114,0,137.5,0,32,0,82,1004.4
Aug-15,27.9,31.8,25.1,36.1,22.2,385.5,0,29.5,0,83,0,205.1,0,50,0,78,1004.6
Sep-15,25.1,29.2,22.1,32.1,18.6,227,0,40,0,69,0,156,0,42,0,76,1007.3
Oct-15,20.8,26.1,16.1,31,12.3,48.5,0,15.5,0,25,0,241,0,68,0,65,1013.2
Nov-15,18.3,21.8,15.3,26,6.3,183,0,24.5,0,74.5,0,120.1,0,38,0,78,1016.7
Dec-15,12.6,16.9,8.9,21.9,1.5,215,0,53.5,0,126.5,0,144.3,0,46,0,71,1018.5
Jan-16,9,13,5.4,19.8,-5.3,159,0,13,0,85.5,0,87.6,0,27,0,77,1017.6
