ダウンロードした時刻：2021/05/19 13:39:12,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,1.9,6.2,-1.9,11.9,-4.6,18,0,4,0,5,0,183,0,60,0,62,1012
Feb-14,1.4,5.2,-2.1,13.2,-4.9,78.5,0,7,0,47.5,0,152.4,0,51,0,65,1014.2
Mar-14,5.5,9.8,1.9,22.8,-3.4,162.5,0,9.5,0,52,0,157.8,0,43,0,64,1009.3
Apr-14,10.9,16.3,6,22.6,2.1,69,0,7.5,0,28.5,0,262.7,0,67,0,55,1010.7
May-14,16.5,21.5,12.2,30.7,6.7,83.5,0,6.5,0,40.5,0,244,0,56,0,66,1005.4
Jun-14,20.6,24.3,18.1,32.2,16.2,242,0,16,0,58.5,0,137.9,0,31,0,81,1003.3
Jul-14,23.7,27.8,20.7,32.8,18.4,123,0,22,0,22,0,159.2,0,35,0,82,1003.9
Aug-14,24.6,28.6,21.8,35.4,17.7,133,0,24.5,0,24.5,0,137.9,0,33,0,85,1005.5
Sep-14,20.5,25.1,16.6,29.4,13.1,112,0,18.5,0,57.5,0,192.8,0,52,0,73,1008.1
Oct-14,15.3,20,11.3,26.5,7.4,256.5,0,47.5,0,110,0,188.4,0,54,0,72,1012.9
Nov-14,10,14,6.3,21.2,1.8,70.5,0,8.5,0,31.5,0,143.6,0,47,0,70,1013.1
Dec-14,2.8,6.6,-0.3,14.2,-4.3,68,0,4.5,0,20.5,0,133.7,0,45,0,69,1007.9
Jan-15,2.6,5.9,-0.3,11.8,-3.4,41.5,0,4.5,0,26,0,152,0,50,0,63,1009.2
Feb-15,3,6.4,0,13.8,-4.3,30,0,3,0,9,0,139.1,0,46,0,65,1009.6
Mar-15,6.8,11.4,2.7,19.7,-1.6,184.5,0,24,0,81,0,210,0,57,0,64,1011.2
Apr-15,11.7,16.9,7.2,26.9,1.3,100.5,0,7,0,19,0,204,0,52,0,67,1011.8
May-15,18,23.5,13.2,30.6,9.1,45,0,5.5,0,21,0,273.3,0,62,0,60,1004.7
Jun-15,20,24.2,16.6,29,10.8,130.5,0,17.5,0,70.5,0,167.5,0,38,0,76,1003.7
Jul-15,24.8,29,21.5,35.1,17.1,54.5,0,5,0,20.5,0,191.1,0,43,0,78,1004.2
Aug-15,24.3,27.9,21.7,36.6,17.5,219.5,0,22.5,0,60.5,0,129.6,0,31,0,79,1005.6
Sep-15,20.5,24.4,17.2,32.3,13.8,441,0,50,0,163.5,0,136.6,0,37,0,76,1008.3
Oct-15,15.5,20.4,11,26.5,5.8,8,0,3,0,5.5,0,215.8,0,62,0,60,1010.3
Nov-15,10.7,14.7,7.2,20.8,0.8,144.5,0,6.5,0,40.5,0,130,0,43,0,73,1016.7
Dec-15,5.9,9.5,2.5,14,-1.1,45,0,6,0,24.5,0,153.8,0,52,0,66,1013.9
Jan-16,2.4,6.2,-0.8,12.7,-3.6,67.5,0,6,0,53.5,0,126.6,0,42,0,65,1010.8
