year,month,employee,male_employee,female_employee
2014,1,5548,3142,2406
2014,2,5543,3141,2402
2014,3,5541,3147,2394
2014,4,5549,3142,2407
2014,5,5591,3169,2422
2014,6,5617,3173,2444
2014,7,5599,3157,2442
2014,8,5600,3168,2432
2014,9,5636,3175,2461
2014,10,5629,3160,2469
2014,11,5637,3158,2479
2014,12,5645,3170,2475
2015,1,5611,3164,2447
2015,2,5595,3154,2441
2015,3,5579,3139,2440
2015,4,5578,3137,2441
2015,5,5623,3159,2464
2015,6,5665,3175,2490
2015,7,5633,3156,2477
2015,8,5639,3169,2470
2015,9,5687,3182,2505
2015,10,5704,3190,2514
2015,11,5676,3182,2494
2015,12,5694,3190,2504
2016,1,5712,3191,2521
2016,2,5684,3185,2499
2016,3,5648,3159,2489
2016,4,5679,3183,2496
2016,5,5718,3209,2509
2016,6,5740,3196,2544
2016,7,5721,3182,2539
2016,8,5723,3189,2534
2016,9,5771,3210,2561
2016,10,5793,3222,2571
2016,11,5758,3212,2546
2016,12,5798,3230,2568
2017,1,5793,3226,2567
2017,2,5754,3215,2539
2017,3,5728,3196,2532
2017,4,5757,3199,2558
2017,5,5796,3218,2578
2017,6,5848,3239,2609
2017,7,5838,3231,2607
2017,8,5840,3235,2605
2017,9,5866,3252,2614
2017,10,5877,3251,2626
2017,11,5865,3240,2625
2017,12,5863,3249,2614
2018,1,5880,3262,2618
2018,2,5875,3247,2628
2018,3,5873,3229,2644
2018,4,5916,3241,2675
2018,5,5931,3268,2663
2018,6,5940,3275,2665
2018,7,5953,3260,2693
2018,8,5953,3263,2690
2018,9,5966,3269,2697
2018,10,5995,3282,2713
2018,11,5983,3291,2692
2018,12,5963,3286,2677
2019,1,5953,3266,2687
2019,2,5962,3279,2683
2019,3,5948,3256,2692
2019,4,5960,3262,2698
2019,5,5993,3296,2697
2019,6,6023,3301,2722
2019,7,6034,3300,2734
2019,8,6025,3296,2729
2019,9,6017,3272,2745
2019,10,6046,3283,2763
2019,11,6046,3297,2749
2019,12,6043,3299,2744
2020,1,6017,3298,2719
2020,2,6026,3300,2726
2020,3,6009,3285,2724
2020,4,5923,3259,2664
2020,5,5919,3255,2664
2020,6,5929,3252,2677
2020,7,5942,3266,2676
2020,8,5946,3260,2686
2020,9,5961,3254,2707
2020,10,5997,3266,2731
2020,11,6018,3276,2742
2020,12,5985,3265,2720
2021,1,5973,3269,2704
2021,2,5982,3277,2705
2021,3,5968,3251,2717
