表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,
公開日：,2021年3月5日,,,,,
,,,,,,
***,調査又は集計していないもの,,,,,
-,データが得られないもの,,,,,
X,数値が秘匿されているもの,,,,,
,,,,,,
,,,,,C120110,
調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,注釈
2019100000,2019年度,0,全国,,"202,199,659,825",
2019100000,2019年度,1000,北海道,,"6,967,526,168",
2019100000,2019年度,2000,青森県,,"1,438,633,834",
2019100000,2019年度,3000,岩手県,,"1,499,962,437",
2019100000,2019年度,4000,宮城県,,"3,279,762,222",
2019100000,2019年度,5000,秋田県,,"1,098,132,222",
2019100000,2019年度,6000,山形県,,"1,342,125,446",
2019100000,2019年度,7000,福島県,,"2,496,166,698",
2019100000,2019年度,8000,茨城県,,"4,261,984,881",
2019100000,2019年度,9000,栃木県,,"2,875,466,048",
2019100000,2019年度,10000,群馬県,,"2,787,703,639",
2019100000,2019年度,11000,埼玉県,,"12,216,379,994",
2019100000,2019年度,12000,千葉県,,"10,701,341,995",
2019100000,2019年度,13000,東京都,,"33,033,303,432",
2019100000,2019年度,14000,神奈川県,,"17,735,984,880",
2019100000,2019年度,15000,新潟県,,"2,925,941,645",
2019100000,2019年度,16000,富山県,,"1,548,001,439",
2019100000,2019年度,17000,石川県,,"1,676,856,402",
2019100000,2019年度,18000,福井県,,"1,129,481,990",
2019100000,2019年度,19000,山梨県,,"1,162,024,168",
2019100000,2019年度,20000,長野県,,"2,911,127,826",
2019100000,2019年度,21000,岐阜県,,"2,940,353,636",
2019100000,2019年度,22000,静岡県,,"5,741,440,097",
2019100000,2019年度,23000,愛知県,,"13,602,079,215",
2019100000,2019年度,24000,三重県,,"2,710,275,005",
2019100000,2019年度,25000,滋賀県,,"2,147,013,167",
2019100000,2019年度,26000,京都府,,"3,900,037,123",
2019100000,2019年度,27000,大阪府,,"13,476,226,775",
2019100000,2019年度,28000,兵庫県,,"8,735,604,815",
2019100000,2019年度,29000,奈良県,,"1,967,887,953",
2019100000,2019年度,30000,和歌山県,,"1,173,150,766",
2019100000,2019年度,31000,鳥取県,,"669,908,704",
2019100000,2019年度,32000,島根県,,"843,560,719",
2019100000,2019年度,33000,岡山県,,"2,580,474,391",
2019100000,2019年度,34000,広島県,,"4,178,520,473",
2019100000,2019年度,35000,山口県,,"1,817,045,222",
2019100000,2019年度,36000,徳島県,,"931,018,710",
2019100000,2019年度,37000,香川県,,"1,336,413,629",
2019100000,2019年度,38000,愛媛県,,"1,674,898,694",
2019100000,2019年度,39000,高知県,,"835,060,373",
2019100000,2019年度,40000,福岡県,,"7,109,374,685",
2019100000,2019年度,41000,佐賀県,,"997,482,820",
2019100000,2019年度,42000,長崎県,,"1,572,299,878",
2019100000,2019年度,43000,熊本県,,"2,120,355,797",
2019100000,2019年度,44000,大分県,,"1,378,240,715",
2019100000,2019年度,45000,宮崎県,,"1,220,292,294",
2019100000,2019年度,46000,鹿児島県,,"1,820,551,020",
2019100000,2019年度,47000,沖縄県,,"1,632,185,783",
2018100000,2018年度,0,全国,,"197,762,788,159",
2018100000,2018年度,1000,北海道,,"6,863,677,160",
2018100000,2018年度,2000,青森県,,"1,432,488,083",
2018100000,2018年度,3000,岩手県,,"1,483,560,635",
2018100000,2018年度,4000,宮城県,,"3,241,087,368",
2018100000,2018年度,5000,秋田県,,"1,094,831,224",
2018100000,2018年度,6000,山形県,,"1,326,398,760",
2018100000,2018年度,7000,福島県,,"2,482,948,964",
2018100000,2018年度,8000,茨城県,,"4,203,733,754",
2018100000,2018年度,9000,栃木県,,"2,820,000,711",
2018100000,2018年度,10000,群馬県,,"2,745,153,646",
2018100000,2018年度,11000,埼玉県,,"11,942,938,784",
2018100000,2018年度,12000,千葉県,,"10,487,049,148",
2018100000,2018年度,13000,東京都,,"31,795,771,898",
2018100000,2018年度,14000,神奈川県,,"17,340,578,405",
2018100000,2018年度,15000,新潟県,,"2,891,158,531",
2018100000,2018年度,16000,富山県,,"1,531,255,232",
2018100000,2018年度,17000,石川県,,"1,654,852,055",
2018100000,2018年度,18000,福井県,,"1,110,882,552",
2018100000,2018年度,19000,山梨県,,"1,152,655,692",
2018100000,2018年度,20000,長野県,,"2,813,378,616",
2018100000,2018年度,21000,岐阜県,,"2,880,670,015",
2018100000,2018年度,22000,静岡県,,"5,668,123,201",
2018100000,2018年度,23000,愛知県,,"13,227,994,480",
2018100000,2018年度,24000,三重県,,"2,666,405,220",
2018100000,2018年度,25000,滋賀県,,"2,089,435,246",
2018100000,2018年度,26000,京都府,,"3,795,604,279",
2018100000,2018年度,27000,大阪府,,"13,116,224,822",
2018100000,2018年度,28000,兵庫県,,"8,587,551,307",
2018100000,2018年度,29000,奈良県,,"1,941,582,169",
2018100000,2018年度,30000,和歌山県,,"1,153,440,464",
2018100000,2018年度,31000,鳥取県,,"663,396,645",
2018100000,2018年度,32000,島根県,,"832,428,697",
2018100000,2018年度,33000,岡山県,,"2,555,035,360",
2018100000,2018年度,34000,広島県,,"4,117,029,448",
2018100000,2018年度,35000,山口県,,"1,803,368,971",
2018100000,2018年度,36000,徳島県,,"922,544,338",
2018100000,2018年度,37000,香川県,,"1,317,212,337",
2018100000,2018年度,38000,愛媛県,,"1,649,652,407",
2018100000,2018年度,39000,高知県,,"835,324,936",
