表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公開日：,2021/3/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
***,調査又は集計していないもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,データが得られないもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,数値が秘匿されているもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A1101,,A1201,,A1202,,A1203,,A1204,,A1205,,A1206,,A1207,,A1208,,A1209,,A1210,,A1211,,A1212,,A1213,,A1214,,A1215,,A1216,,A1217,,A1218,,A1219,,A1220,,A1221,
調査年 コード,調査年,year,prefecture_num,地域 コード,地域,/項目,A1101_総人口【人】,注釈,A1201_0～4歳人口【人】,注釈,A1202_5～9歳人口【人】,注釈,A1203_10～14歳人口【人】,注釈,A1204_15～19歳人口【人】,注釈,A1205_20～24歳人口【人】,注釈,A1206_25～29歳人口【人】,注釈,A1207_30～34歳人口【人】,注釈,A1208_35～39歳人口【人】,注釈,A1209_40～44歳人口【人】,注釈,A1210_45～49歳人口【人】,注釈,A1211_50～54歳人口【人】,注釈,A1212_55～59歳人口【人】,注釈,A1213_60～64歳人口【人】,注釈,A1214_65～69歳人口【人】,注釈,A1215_70～74歳人口【人】,注釈,A1216_75～79歳人口【人】,注釈,A1217_80～84歳人口【人】,注釈,A1218_85～89歳人口【人】,注釈,A1219_90～94歳人口【人】,注釈,A1220_95～99歳人口【人】,注釈,A1221_100歳以上人口【人】,注釈
2019100000,2019年度,2019,0,0,全国,,"126,167,000",,"4,758,000",,"5,101,000",,"5,351,000",,"5,820,000",,"6,388,000",,"6,240,000",,"6,752,000",,"7,551,000",,"8,718,000",,"9,802,000",,"8,567,000",,"7,711,000",,"7,523,000",,"8,709,000",,"8,686,000",,"7,241,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,1,1000,北海道,,"5,250,000",,"170,000",,"191,000",,"204,000",,"225,000",,"234,000",,"229,000",,"257,000",,"296,000",,"352,000",,"387,000",,"347,000",,"340,000",,"345,000",,"425,000",,"395,000",,"318,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,2,2000,青森県,,"1,246,000",,"40,000",,"44,000",,"49,000",,"56,000",,"48,000",,"47,000",,"56,000",,"67,000",,"79,000",,"86,000",,"83,000",,"86,000",,"92,000",,"106,000",,"95,000",,"77,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,3,3000,岩手県,,"1,227,000",,"40,000",,"46,000",,"51,000",,"55,000",,"47,000",,"48,000",,"56,000",,"67,000",,"79,000",,"83,000",,"78,000",,"82,000",,"89,000",,"101,000",,"87,000",,"75,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,4,4000,宮城県,,"2,306,000",,"84,000",,"91,000",,"97,000",,"107,000",,"122,000",,"119,000",,"126,000",,"141,000",,"159,000",,"167,000",,"146,000",,"144,000",,"152,000",,"174,000",,"149,000",,"121,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,5,5000,秋田県,,"966,000",,"27,000",,"32,000",,"36,000",,"39,000",,"31,000",,"31,000",,"40,000",,"49,000",,"59,000",,"62,000",,"59,000",,"67,000",,"76,000",,"89,000",,"77,000",,"64,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,6,6000,山形県,,"1,078,000",,"36,000",,"41,000",,"46,000",,"50,000",,"41,000",,"41,000",,"51,000",,"60,000",,"68,000",,"70,000",,"65,000",,"71,000",,"78,000",,"91,000",,"77,000",,"63,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,7,7000,福島県,,"1,846,000",,"65,000",,"69,000",,"77,000",,"87,000",,"74,000",,"76,000",,"91,000",,"102,000",,"118,000",,"125,000",,"117,000",,"125,000",,"137,000",,"155,000",,"127,000",,"106,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,8,8000,茨城県,,"2,860,000",,"103,000",,"114,000",,"125,000",,"137,000",,"134,000",,"126,000",,"146,000",,"168,000",,"195,000",,"220,000",,"189,000",,"175,000",,"186,000",,"220,000",,"206,000",,"171,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,9,9000,栃木県,,"1,934,000",,"71,000",,"78,000",,"86,000",,"92,000",,"84,000",,"86,000",,"103,000",,"118,000",,"137,000",,"149,000",,"128,000",,"120,000",,"129,000",,"150,000",,"136,000",,"106,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,10,10000,群馬県,,"1,942,000",,"69,000",,"77,000",,"86,000",,"96,000",,"93,000",,"86,000",,"96,000",,"109,000",,"132,000",,"150,000",,"130,000",,"117,000",,"121,000",,"143,000",,"142,000",,"116,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,11,11000,埼玉県,,"7,350,000",,"275,000",,"295,000",,"311,000",,"339,000",,"407,000",,"392,000",,"402,000",,"449,000",,"527,000",,"616,000",,"527,000",,"438,000",,"411,000",,"485,000",,"505,000",,"435,000",,***,,***,,***,,***,,***,
