表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公開日：,2021年3月5日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
***,調査又は集計していないもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,データが得られないもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,数値が秘匿されているもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A1301,,A130101,,A130102,,A1302,,A130201,,A130202,,A1303,,A130301,,A130302,,A1304,,A130401,,A130402,,A1305,,A130501,,A130502,,A1306,,A130601,,A130602,
調査年 コード,調査年,地域 コード,地域,/項目,A1301_15歳未満人口【人】,注釈,A130101_15歳未満人口（男）【人】,注釈,A130102_15歳未満人口（女）【人】,注釈,A1302_15～64歳人口【人】,注釈,A130201_15～64歳人口（男）【人】,注釈,A130202_15～64歳人口（女）【人】,注釈,A1303_65歳以上人口【人】,注釈,A130301_65歳以上人口（男）【人】,注釈,A130302_65歳以上人口（女）【人】,注釈,A1304_15歳未満人口割合【％】,注釈,A130401_15歳未満人口割合（男）【％】,注釈,A130402_15歳未満人口割合（女）【％】,注釈,A1305_15～64歳人口割合【％】,注釈,A130501_15～64歳人口割合（男）【％】,注釈,A130502_15～64歳人口割合（女）【％】,注釈,A1306_65歳以上人口割合【％】,注釈,A130601_65歳以上人口割合（男）【％】,注釈,A130602_65歳以上人口割合（女）【％】,注釈
2019100000,2019年度,0,全国,,"15,210,000",,"7,790,000",,"7,420,000",,"75,072,000",,"38,022,000",,"37,050,000",,"35,885,000",,"15,600,000",,"20,285,000",,12.1,,12.7,,11.5,,59.5,,61.9,,57.2,,28.4,,25.4,,31.3,
2019100000,2019年度,1000,北海道,,"565,000",,"289,000",,"276,000",,"3,012,000",,"1,484,000",,"1,528,000",,"1,673,000",,"699,000",,"973,000",,10.8,,11.7,,9.9,,57.4,,60,,55,,31.9,,28.3,,35,
2019100000,2019年度,2000,青森県,,"133,000",,"68,000",,"65,000",,"699,000",,"348,000",,"351,000",,"415,000",,"170,000",,"245,000",,10.7,,11.6,,9.9,,56.1,,59.4,,53.1,,33.3,,29,,37,
2019100000,2019年度,3000,岩手県,,"137,000",,"70,000",,"67,000",,"684,000",,"350,000",,"334,000",,"406,000",,"172,000",,"234,000",,11.1,,11.8,,10.5,,55.8,,59.2,,52.6,,33.1,,29,,36.9,
2019100000,2019年度,4000,宮城県,,"272,000",,"139,000",,"132,000",,"1,382,000",,"702,000",,"680,000",,"652,000",,"286,000",,"367,000",,11.8,,12.4,,11.2,,59.9,,62.3,,57.7,,28.3,,25.3,,31.1,
2019100000,2019年度,5000,秋田県,,"95,000",,"48,000",,"46,000",,"512,000",,"257,000",,"255,000",,"359,000",,"149,000",,"211,000",,9.8,,10.7,,9.1,,53,,56.6,,49.8,,37.2,,32.7,,41.1,
2019100000,2019年度,6000,山形県,,"123,000",,"63,000",,"60,000",,"594,000",,"302,000",,"293,000",,"360,000",,"155,000",,"205,000",,11.4,,12.1,,10.8,,55.1,,58,,52.5,,33.4,,29.9,,36.7,
2019100000,2019年度,7000,福島県,,"211,000",,"108,000",,"103,000",,"1,053,000",,"549,000",,"504,000",,"582,000",,"257,000",,"325,000",,11.4,,11.8,,11,,57.1,,60.1,,54.1,,31.5,,28.1,,34.9,
2019100000,2019年度,8000,茨城県,,"342,000",,"175,000",,"166,000",,"1,676,000",,"871,000",,"804,000",,"843,000",,"380,000",,"463,000",,11.9,,12.3,,11.6,,58.6,,61.1,,56.1,,29.5,,26.6,,32.3,
2019100000,2019年度,9000,栃木県,,"235,000",,"121,000",,"114,000",,"1,146,000",,"595,000",,"550,000",,"554,000",,"248,000",,"306,000",,12.1,,12.5,,11.8,,59.2,,61.8,,56.7,,28.6,,25.7,,31.5,
2019100000,2019年度,10000,群馬県,,"232,000",,"119,000",,"113,000",,"1,131,000",,"585,000",,"546,000",,"580,000",,"257,000",,"322,000",,11.9,,12.4,,11.5,,58.2,,60.9,,55.7,,29.8,,26.8,,32.9,
2019100000,2019年度,11000,埼玉県,,"881,000",,"452,000",,"429,000",,"4,508,000",,"2,331,000",,"2,177,000",,"1,961,000",,"885,000",,"1,075,000",,12,,12.3,,11.7,,61.3,,63.5,,59.1,,26.7,,24.1,,29.2,
2019100000,2019年度,12000,千葉県,,"739,000",,"379,000",,"360,000",,"3,777,000",,"1,939,000",,"1,837,000",,"1,743,000",,"786,000",,"957,000",,11.8,,12.2,,11.4,,60.3,,62.5,,58.2,,27.9,,25.3,,30.3,
2019100000,2019年度,13000,東京都,,"1,553,000",,"794,000",,"760,000",,"9,158,000",,"4,663,000",,"4,496,000",,"3,209,000",,"1,389,000",,"1,820,000",,11.2,,11.6,,10.7,,65.8,,68.1,,63.5,,23.1,,20.3,,25.7,
2019100000,2019年度,14000,神奈川県,,"1,099,000",,"563,000",,"536,000",,"5,771,000",,"2,985,000",,"2,786,000",,"2,329,000",,"1,037,000",,"1,291,000",,11.9,,12.3,,11.6,,62.7,,65.1,,60.4,,25.3,,22.6,,28,
2019100000,2019年度,15000,新潟県,,"254,000",,"130,000",,"124,000",,"1,249,000",,"637,000",,"612,000",,"720,000",,"311,000",,"409,000",,11.4,,12.1,,10.8,,56.2,,59.1,,53.4,,32.4,,28.8,,35.8,
2019100000,2019年度,16000,富山県,,"119,000",,"61,000",,"58,000",,"587,000",,"301,000",,"286,000",,"337,000",,"144,000",,"193,000",,11.4,,12.1,,10.8,,56.3,,59.5,,53.2,,32.3,,28.4,,36,
2019100000,2019年度,17000,石川県,,"140,000",,"71,000",,"69,000",,"661,000",,"337,000",,"324,000",,"337,000",,"144,000",,"192,000",,12.3,,12.9,,11.7,,58.1,,60.9,,55.4,,29.6,,26.1,,32.9,
2019100000,2019年度,18000,福井県,,"97,000",,"50,000",,"47,000",,"436,000",,"222,000",,"214,000",,"235,000",,"102,000",,"133,000",,12.6,,13.3,,12,,56.7,,59.3,,54.3,,30.6,,27.3,,33.7,
2019100000,2019年度,19000,山梨県,,"95,000",,"48,000",,"46,000",,"466,000",,"239,000",,"228,000",,"250,000",,"110,000",,"140,000",,11.7,,12.2,,11.2,,57.5,,60.1,,55,,30.8,,27.7,,33.8,
2019100000,2019年度,20000,長野県,,"250,000",,"128,000",,"122,000",,"1,146,000",,"585,000",,"561,000",,"653,000",,"287,000",,"366,000",,12.2,,12.8,,11.6,,55.9,,58.5,,53.5,,31.9,,28.7,,34.9,
2019100000,2019年度,21000,岐阜県,,"248,000",,"127,000",,"121,000",,"1,140,000",,"574,000",,"565,000",,"599,000",,"263,000",,"336,000",,12.5,,13.2,,11.9,,57.4,,59.5,,55.3,,30.1,,27.3,,32.8,
2019100000,2019年度,22000,静岡県,,"447,000",,"229,000",,"218,000",,"2,107,000",,"1,086,000",,"1,021,000",,"1,089,000",,"481,000",,"608,000",,12.3,,12.8,,11.8,,57.8,,60.5,,55.3,,29.9,,26.8,,32.9,
2019100000,2019年度,23000,愛知県,,"991,000",,"508,000",,"483,000",,"4,669,000",,"2,428,000",,"2,241,000",,"1,892,000",,"843,000",,"1,049,000",,13.1,,13.4,,12.8,,61.8,,64.3,,59.4,,25.1,,22.3,,27.8,
2019100000,2019年度,24000,三重県,,"218,000",,"111,000",,"106,000",,"1,034,000",,"528,000",,"506,000",,"530,000",,"231,000",,"299,000",,12.2,,12.8,,11.7,,58,,60.7,,55.5,,29.7,,26.5,,32.8,
2019100000,2019年度,25000,滋賀県,,"195,000",,"100,000",,"95,000",,"852,000",,"435,000",,"417,000",,"368,000",,"164,000",,"204,000",,13.8,,14.3,,13.2,,60.2,,62.2,,58.3,,26,,23.4,,28.5,
